RouteStartStore;Адрес отправки;RegionDelivery;RouteEndCity;RouteEndStore;Адрес доставки;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область; ;МО_ЩЕЛКОВО_11;Московская обл, г Лосино-Петровский, рп Свердловский, ул Заречная, д 7;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Ивантеевка;МО_ИВАНТЕЕВКА_2;Московская обл, г Ивантеевка, ул Толмачева, д 1/2;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Ивантеевка;МО_ИВАНТЕЕВКА_3_МТС;Московская обл, г Ивантеевка, Советский пр-кт, д 2А;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Ивантеевка;МО_ИВАНТЕЕВКА_7;Московская обл, г Ивантеевка, ул Хлебозаводская, д 31/1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_11;Московская обл, г Королев, ул Богомолова, д 3А;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_12;Московская обл, г Королев, пр-кт Королева, д 5Д;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_5_МТС;Московская обл, г Королев, пр-кт Космонавтов, д 15;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_6_МТС;Московская обл, г Королев, пр-кт Космонавтов, д 34Б;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_8_МТС_Телефон.ру;Московская обл, г Королев, мкр Болшево, ул Железнодорожная, д 1/23А;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_КОРОЛЕВ_9_МТС;Московская обл, г Королев, пр-кт Королева, д 20;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_ЮБИЛЕЙНЫЙ_1;Московская обл, г Королев, ул Пионерская, д 1/4;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_ЮБИЛЕЙНЫЙ_2_МТС;Московская обл, г Королев, мкр Юбилейный, ул Пионерская, д 12;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Королев;МО_ЮБИЛЕЙНЫЙ_3;Московская обл, г Королев, мкр Юбилейный, ул Маяковского, д 2;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Красноармейск;МО_КРАСНОАРМЕЙСК_3;Московская обл, г Красноармейск, Северный мкр, д 17;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_10_МТС(закрыт);Московская обл, г Мытищи, ул Коммунистическая, д 1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_12;Московская обл, г Мытищи, ул Мира, д 4;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_14;Московская обл, г Мытищи, ул Семашко, д 35, оф 19;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_15_МТС;Город Мытищи Проезд Шараповский Дом 3А;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_16;Московская обл, г Мытищи, ул Белобородова, д 3;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_17;Московская обл, г Мытищи, ул Юбилейная, д 36 к 1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_18;Московская обл, г Мытищи, ул Борисовка, д 20А;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_3;Московская обл, г Мытищи, ул Попова, д 4;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_5;Московская обл, г Мытищи, ул Колонцова, д 5;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_8_МТС;Московская обл, г Мытищи, Олимпийский пр-кт, д 21 к 1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Мытищи;МО_МЫТИЩИ_9_МТС(закрыт);Московская обл, г Мытищи, б-р Ветеранов, стр 2;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Пушкино;МО_ПУШКИНО_3;Московская обл, г Пушкино, ул Лесная, д 5, оф 110;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Пушкино;МО_Пушкино_4;Московская обл, г Пушкино, ул Грибоедова, д 3;;
