ofc_lat|ofc_long|courier_id|delivery_lat|delivery_long|visit_dt|height|length|width
43.235406|76.892700|44024460|43.253121|76.879619|2024-08-09 07:46:55+03|18.00|16.00|12.00
43.235406|76.892700|44024092|43.200300|76.890973|2024-08-09 07:49:25+03|15.00|22.00|17.00
43.235406|76.892700|44024092|43.200300|76.890973|2024-08-09 07:49:25+03|11.00|20.00|9.00
43.235406|76.892700|44024114|43.241767|76.876007|2024-08-09 08:55:08+03|10.00|5.00|5.00
43.235406|76.892700|44071970|43.211438|76.879538|2024-08-09 09:48:55+03|12.00|8.00|8.00
43.235406|76.892700|44071970|43.221556|76.853612|2024-08-09 14:15:26.056644+03|19.00|15.00|7.00
43.235406|76.892700|44071970|43.211287|76.848797|2024-08-09 12:57:19+03|2.00|10.00|7.00
43.235406|76.892700|44073434|43.170482|76.872243|2024-08-09 10:56:49+03|6.00|12.00|10.00
43.235406|76.892700|44024472|43.223770|76.843812|2024-08-09 09:05:00+03|16.00|2.00|5.00
43.235406|76.892700|44024114|43.232992|76.874381|2024-08-09 11:48:27+03|21.00|29.00|28.00
43.235406|76.892700|44073434|43.230628|76.869728|2024-08-09 09:49:17+03|15.00|22.00|22.00
43.235406|76.892700|44023718|43.260652|76.844773|2024-08-09 10:16:19+03|7.00|23.00|18.00
43.235406|76.892700|44023718|43.260652|76.844773|2024-08-09 10:16:19+03|11.00|30.00|17.00
43.235406|76.892700|43742900|43.235712|76.823806|2024-08-09 10:36:13+03|10.00|24.00|10.00
43.235406|76.892700|44024092|43.204387|76.890928|2024-08-09 07:25:06+03|6.00|21.00|9.00
43.235406|76.892700|44071970|43.219204|76.888207|2024-08-09 08:14:14+03|3.00|30.00|20.00
43.235406|76.892700|44071970|43.219204|76.888207|2024-08-09 08:14:14+03|2.00|28.00|18.00
43.235406|76.892700|44071970|43.219204|76.888207|2024-08-09 08:14:14+03|9.00|20.00|18.00
43.235406|76.892700|44071970|43.219204|76.888207|2024-08-09 08:14:14+03|2.00|25.00|20.00
43.235406|76.892700|44024460|43.264243|76.879008|2024-08-09 11:08:56+03|3.00|15.00|15.00
43.235406|76.892700|44024460|43.264243|76.879008|2024-08-09 11:08:56+03|1.00|29.00|31.00
43.235406|76.892700|44024460|43.264243|76.879008|2024-08-09 11:08:56+03|2.00|35.00|25.00
43.235406|76.892700|44024460|43.264243|76.879008|2024-08-09 11:08:56+03|7.00|8.00|8.00
43.235406|76.892700|44024507|43.184505|76.868147|2024-08-09 09:51:23+03|20.00|9.00|3.00
43.235406|76.892700|44024507|43.184505|76.868147|2024-08-09 09:51:23+03|20.00|2.00|8.00
43.235406|76.892700|44024507|43.184505|76.868147|2024-08-09 09:51:23+03|1.00|9.00|6.00
43.235406|76.892700|44023718|43.257428|76.856146|2024-08-09 09:34:08+03|9.00|24.00|9.00
43.235406|76.892700|44024092|43.203211|76.887012|2024-08-09 08:55:03+03|10.00|27.00|12.00
43.235406|76.892700|44024114|43.229393|76.883562|2024-08-09 11:07:47+03|13.00|22.00|8.00
43.235406|76.892700|44024092|43.191585|76.882179|2024-08-09 08:40:52+03|5.00|23.00|23.00
43.235406|76.892700|43742900|43.250849|76.798779|2024-08-09 09:43:07+03|1.00|31.00|26.00
43.235406|76.892700|44073434|43.223527|76.850064|2024-08-09 09:16:47+03|1.00|15.00|15.00
43.235406|76.892700|44024092|43.199537|76.888359|2024-08-09 08:14:55+03|32.00|25.00|2.00
43.235406|76.892700|44024507|43.188160|76.869558|2024-08-09 10:34:00+03|3.00|15.00|13.00
43.235406|76.892700|44024092|43.202002|76.872899|2024-08-09 09:44:36+03|6.00|29.00|39.00
43.235406|76.892700|44024472|43.219329|76.841584|2024-08-09 09:39:57+03|10.00|17.00|23.00
43.235406|76.892700|44024472|43.219329|76.841584|2024-08-09 09:39:57+03|10.00|10.00|10.00
43.235406|76.892700|44024507|43.183887|76.861518|2024-08-09 09:32:28+03|17.00|12.00|1.00
43.235406|76.892700|43742900|43.236152|76.832367|2024-08-09 08:10:22+03|12.00|18.00|10.00
43.235406|76.892700|44024114|43.230148|76.885422|2024-08-09 11:15:57+03|22.00|3.00|10.00
43.235406|76.892700|44024114|43.230148|76.885422|2024-08-09 11:15:57+03|22.00|3.00|10.00
43.235406|76.892700|44024114|43.230148|76.885422|2024-08-09 11:15:57+03|22.00|3.00|10.00
43.235406|76.892700|44023718|43.259746|76.845240|2024-08-09 10:13:02+03|12.00|3.00|3.00
43.235406|76.892700|44023718|43.259746|76.845240|2024-08-09 10:13:02+03|12.00|3.00|3.00
43.235406|76.892700|44023718|43.259746|76.845240|2024-08-09 10:13:02+03|12.00|3.00|3.00
43.235406|76.892700|43751141|43.202705|76.838224|2024-08-09 09:24:41+03|3.00|17.00|6.00
43.235406|76.892700|43751141|43.202705|76.838224|2024-08-09 09:24:41+03|3.00|17.00|6.00
43.235406|76.892700|44024460|43.251965|76.864653|2024-08-09 10:03:02+03|11.00|30.00|20.00
43.235406|76.892700|44024472|43.223106|76.847351|2024-08-09 09:16:01+03|3.00|40.00|40.00
43.235406|76.892700|44071970|43.216786|76.880697|2024-08-09 10:38:01+03|20.00|1.00|17.00
43.235406|76.892700|44024472|43.227304|76.836014|2024-08-09 10:25:17+03|20.00|1.00|9.00
43.235406|76.892700|44071970|43.218245|76.880364|2024-08-09 10:25:36+03|25.00|25.00|20.00
43.235406|76.892700|44071970|43.218245|76.880364|2024-08-09 10:25:36+03|6.00|25.00|31.00
43.235406|76.892700|44073434|43.176788|76.845590|2024-08-09 09:58:54+03|4.00|24.00|24.00
43.235406|76.892700|43751141|43.199879|76.843003|2024-08-09 09:20:27+03|27.00|10.00|10.00
43.235406|76.892700|43751141|43.199879|76.843003|2024-08-09 09:20:27+03|13.00|13.00|13.00
43.235406|76.892700|44024472|43.229518|76.832152|2024-08-09 11:39:55+03|3.00|10.00|10.00
43.235406|76.892700|44024472|43.229518|76.832152|2024-08-09 11:39:55+03|10.00|10.00|10.00
43.235406|76.892700|44071970|43.212588|76.856352|2024-08-09 13:05:38+03|1.00|16.00|10.00
43.235406|76.892700|44024472|43.227304|76.836014|2024-08-09 10:25:17+03|20.00|1.00|9.00
43.235406|76.892700|44024472|43.227304|76.836014|2024-08-09 10:25:17+03|5.00|35.00|40.00
43.235406|76.892700|43742900|43.238825|76.802714|2024-08-09 09:55:54+03|19.00|19.00|17.00
43.235406|76.892700|43742900|43.238825|76.802714|2024-08-09 09:55:54+03|19.00|19.00|17.00
43.235406|76.892700|43742900|43.238825|76.802714|2024-08-09 09:55:54+03|19.00|19.00|17.00
43.235406|76.892700|44024114|43.232270|76.884101|2024-08-09 10:45:13+03|10.00|18.00|13.00
43.235406|76.892700|44071970|43.209683|76.875873|2024-08-09 10:12:30+03|20.00|3.00|7.00
43.235406|76.892700|44024114|43.241123|76.876133|2024-08-09 08:42:22+03|1.00|12.00|8.00
43.235406|76.892700|44024460|43.251991|76.873681|2024-08-09 08:56:33+03|2.00|30.00|25.00
43.235406|76.892700|44024460|43.251991|76.873681|2024-08-09 08:56:33+03|4.00|30.00|20.00
43.235406|76.892700|43742900|43.256266|76.801241|2024-08-09 09:40:06+03|3.00|20.00|15.00
43.235406|76.892700|44071970|43.213928|76.885619|2024-08-09 09:25:09+03|5.00|30.00|20.00
43.235406|76.892700|44071970|43.213928|76.885619|2024-08-09 09:25:09+03|24.00|10.00|10.00
43.235406|76.892700|44024507|43.188489|76.866872|2024-08-09 11:05:18+03|8.00|8.00|10.00
43.235406|76.892700|44024507|43.188489|76.866872|2024-08-09 11:05:18+03|2.00|16.00|9.00
43.235406|76.892700|44024507|43.188489|76.866872|2024-08-09 11:05:18+03|8.00|8.00|10.00
43.235406|76.892700|44024507|43.188489|76.866872|2024-08-09 11:05:18+03|1.00|9.00|7.00
43.235406|76.892700|44073434|43.230280|76.861212|2024-08-09 09:31:57+03|11.00|5.00|5.00
43.235406|76.892700|44024507|43.189573|76.870186|2024-08-09 10:42:34+03|15.00|15.00|15.00
43.235406|76.892700|43751141|43.208875|76.829511|2024-08-09 08:52:56+03|5.00|35.00|23.00
43.235406|76.892700|43751141|43.208875|76.829511|2024-08-09 08:52:56+03|5.00|35.00|23.00
43.235406|76.892700|44024092|43.199583|76.880760|2024-08-09 08:26:41+03|2.00|10.00|7.00
43.235406|76.892700|44024092|43.199583|76.880760|2024-08-09 08:26:41+03|2.00|25.00|20.00
43.235406|76.892700|44024507|43.188653|76.874534|2024-08-09 10:10:08+03|6.00|10.00|10.00
43.235406|76.892700|44024507|43.188653|76.874534|2024-08-09 10:10:08+03|6.00|10.00|10.00
43.235406|76.892700|44024460|43.255163|76.876475|2024-08-09 08:28:04+03|13.00|14.00|14.00
43.235406|76.892700|43742900|43.260297|76.826906|2024-08-09 08:44:42+03|3.00|12.00|7.00
43.235406|76.892700|43751141|43.205813|76.842680|2024-08-09 09:12:04+03|9.00|5.00|5.00
43.235406|76.892700|44024460|43.259358|76.876744|2024-08-09 10:32:37+03|13.00|31.00|16.00
43.235406|76.892700|43751141|43.205813|76.842680|2024-08-09 09:12:04+03|15.00|20.00|3.00
43.235406|76.892700|43751141|43.205813|76.842680|2024-08-09 09:12:04+03|1.00|21.00|21.00
43.235406|76.892700|43751141|43.205813|76.842680|2024-08-09 09:12:04+03|10.00|16.00|16.00
43.235406|76.892700|44024507|43.188817|76.868345|2024-08-09 10:46:25+03|9.00|3.00|3.00
43.235406|76.892700|44024472|43.223694|76.845267|2024-08-09 09:10:17+03|7.00|23.00|39.00
43.235406|76.892700|44024472|43.223694|76.845267|2024-08-09 09:10:17+03|13.00|10.00|10.00
43.235406|76.892700|44024472|43.223694|76.845267|2024-08-09 09:10:17+03|1.00|11.00|9.00
43.235406|76.892700|44024507|43.183151|76.871606|2024-08-09 09:41:53+03|16.00|40.00|13.00
43.235406|76.892700|44024507|43.183151|76.871606|2024-08-09 09:41:53+03|12.00|39.00|8.00
43.235406|76.892700|44024507|43.183151|76.871606|2024-08-09 09:41:53+03|16.00|40.00|13.00
43.235406|76.892700|44024092|43.207798|76.888287|2024-08-09 07:09:46+03|14.00|5.00|5.00
43.235406|76.892700|44024507|43.187168|76.869944|2024-08-09 09:53:30+03|5.00|27.00|17.00
43.235406|76.892700|44024472|43.226667|76.841009|2024-08-09 08:54:18+03|5.00|30.00|20.00
43.235406|76.892700|44024472|43.226667|76.841009|2024-08-09 08:54:18+03|4.00|10.00|7.00
43.235406|76.892700|44024507|43.188817|76.868345|2024-08-09 10:46:25+03|11.00|7.00|7.00
43.235406|76.892700|44024507|43.188817|76.868345|2024-08-09 10:46:25+03|17.00|6.00|9.00
43.235406|76.892700|44024472|43.229728|76.836814|2024-08-09 10:35:26+03|2.00|33.00|22.00
43.235406|76.892700|43742900|43.241636|76.816314|2024-08-09 09:23:19+03|10.00|10.00|10.00
43.235406|76.892700|43742900|43.237301|76.831963|2024-08-09 08:05:48+03|3.00|25.00|21.00
43.235406|76.892700|43751141|43.193957|76.848106|2024-08-09 10:27:48+03|3.00|20.00|15.00
43.235406|76.892700|44023718|43.282416|76.829908|2024-08-09 10:00:33+03|2.00|10.00|10.00
43.235406|76.892700|44023718|43.282416|76.829908|2024-08-09 10:00:33+03|2.00|30.00|25.00
43.235406|76.892700|44023718|43.282416|76.829908|2024-08-09 10:00:33+03|5.00|25.00|19.00
43.235406|76.892700|44023718|43.282416|76.829908|2024-08-09 10:00:33+03|3.00|13.00|8.00
43.235406|76.892700|44023718|43.282416|76.829908|2024-08-09 10:00:33+03|7.00|8.00|2.00
43.235406|76.892700|44073434|43.233735|76.868848|2024-08-09 08:08:54+03|3.00|15.00|12.00
43.235406|76.892700|44073434|43.233735|76.868848|2024-08-09 08:08:54+03|30.00|15.00|15.00
43.235406|76.892700|44073434|43.170417|76.872782|2024-08-09 11:01:34+03|2.00|8.00|8.00
43.235406|76.892700|44073434|43.173467|76.866000|2024-08-09 11:21:16+03|8.00|22.00|22.00
43.235406|76.892700|43742900|43.247539|76.816638|2024-08-09 09:18:26+03|3.00|8.00|6.00
43.235406|76.892700|44024114|43.249102|76.882215|2024-08-09 09:23:54+03|13.00|19.00|28.00
43.235406|76.892700|44024092|43.203112|76.869908|2024-08-09 10:05:26+03|4.00|10.00|7.00
43.235406|76.892700|44024092|43.205879|76.885323|2024-08-09 09:06:28+03|2.00|18.00|12.00
43.235406|76.892700|44024092|43.205879|76.885323|2024-08-09 09:06:28+03|2.00|18.00|12.00
43.235406|76.892700|44024092|43.205215|76.886266|2024-08-09 09:09:52+03|7.00|32.00|12.00
43.235406|76.892700|44023718|43.255675|76.846165|2024-08-09 09:24:30+03|1.00|12.00|5.00
43.235406|76.892700|44023718|43.255675|76.846165|2024-08-09 09:24:30+03|1.00|10.00|5.00
43.235406|76.892700|44071970|43.222384|76.854807|2024-08-09 14:11:00.711901+03|1.00|19.00|6.00
43.235406|76.892700|44071970|43.222384|76.854807|2024-08-09 14:11:00.711901+03|1.00|13.00|14.00
43.235406|76.892700|44071970|43.222384|76.854807|2024-08-09 14:11:00.711901+03|1.00|17.00|6.00
43.235406|76.892700|44071970|43.222384|76.854807|2024-08-09 14:11:00.711901+03|1.00|20.00|15.00
43.235406|76.892700|44024092|43.196534|76.875945|2024-08-09 08:45:36+03|6.00|20.00|20.00
43.235406|76.892700|44024092|43.196534|76.875945|2024-08-09 08:45:36+03|2.00|15.00|14.00
43.235406|76.892700|44023718|43.257074|76.842806|2024-08-09 09:27:51+03|2.00|13.00|9.00
43.235406|76.892700|44024092|43.204308|76.871453|2024-08-09 09:34:05+03|4.00|12.00|7.00
43.235406|76.892700|44073434|43.229399|76.860871|2024-08-09 09:26:24+03|18.00|6.00|6.00
43.235406|76.892700|44073434|43.229399|76.860871|2024-08-09 09:26:24+03|18.00|9.00|9.00
43.235406|76.892700|44023718|43.253456|76.846462|2024-08-09 09:23:25+03|15.00|9.00|6.00
43.235406|76.892700|44023718|43.253456|76.846462|2024-08-09 09:23:25+03|3.00|32.00|23.00
43.235406|76.892700|44023718|43.253456|76.846462|2024-08-09 09:23:25+03|13.00|14.00|8.00
43.235406|76.892700|43751141|43.185912|76.836329|2024-08-09 09:55:16+03|11.00|20.00|13.00
43.235406|76.892700|43742900|43.239068|76.837586|2024-08-09 08:00:56+03|1.00|10.00|7.00
43.235406|76.892700|43742900|43.239851|76.825710|2024-08-09 08:30:21+03|11.00|24.00|13.00
43.235406|76.892700|43742900|43.239851|76.825710|2024-08-09 08:30:21+03|10.00|24.00|13.00
43.235406|76.892700|43751141|43.184486|76.840704|2024-08-09 10:09:19+03|2.00|28.00|16.00
43.235406|76.892700|44024114|43.247159|76.875091|2024-08-09 09:13:16+03|4.00|16.00|10.00
43.235406|76.892700|44024114|43.233577|76.886446|2024-08-09 10:48:59+03|5.00|5.00|5.00
43.235406|76.892700|44024114|43.233577|76.886446|2024-08-09 10:48:59+03|6.00|30.00|11.00
43.235406|76.892700|44071970|43.221700|76.865299|2024-08-09 13:55:49.812052+03|2.00|25.00|20.00
43.235406|76.892700|44071970|43.221700|76.865299|2024-08-09 13:55:49.812052+03|8.00|4.00|4.00
43.235406|76.892700|44024092|43.205215|76.886266|2024-08-09 09:09:52+03|12.00|12.00|31.00
43.235406|76.892700|44024092|43.205215|76.886266|2024-08-09 09:09:52+03|7.00|32.00|12.00
43.235406|76.892700|44023718|43.265516|76.841683|2024-08-09 10:08:55+03|1.00|13.00|9.00
43.235406|76.892700|43751141|43.190480|76.856119|2024-08-09 10:58:17+03|14.00|26.00|14.00
43.235406|76.892700|44071970|43.211438|76.861212|2024-08-09 13:23:20.765179+03|23.00|18.00|12.00
43.235406|76.892700|44071970|43.211438|76.861212|2024-08-09 13:23:20.765179+03|17.00|4.00|16.00
43.235406|76.892700|44071970|43.211438|76.861212|2024-08-09 13:23:20.765179+03|17.00|4.00|16.00
43.235406|76.892700|43742900|43.238963|76.831891|2024-08-09 07:55:48+03|4.00|12.00|6.00
43.235406|76.892700|44024460|43.254060|76.873330|2024-08-09 07:16:11.496309+03|14.00|44.00|20.00
43.235406|76.892700|44024460|43.254060|76.873330|2024-08-09 07:16:11.496309+03|1.00|21.00|7.00
43.235406|76.892700|44024460|43.254060|76.873330|2024-08-09 07:16:11.496309+03|14.00|27.00|22.00
43.235406|76.892700|44024460|43.254060|76.873330|2024-08-09 07:16:11.496309+03|14.00|27.00|22.00
43.235406|76.892700|44024460|43.254060|76.873330|2024-08-09 07:16:11.496309+03|11.00|14.00|7.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|5.00|16.00|12.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|6.00|16.00|6.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|6.00|23.00|13.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|11.00|12.00|3.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|1.00|30.00|25.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|1.00|30.00|22.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|2.00|28.00|21.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|1.00|45.00|35.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|11.00|19.00|32.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|21.00|1.00|30.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|1.00|21.00|17.00
43.235406|76.892700|44024092|43.197802|76.889482|2024-08-09 08:06:26+03|9.00|23.00|5.00
43.235406|76.892700|44024460|43.255143|76.878343|2024-08-09 07:58:04+03|2.00|20.00|20.00
43.235406|76.892700|44023718|43.259352|76.840632|2024-08-09 10:18:35+03|4.00|29.00|27.00
43.235406|76.892700|44023718|43.259352|76.840632|2024-08-09 10:18:35+03|2.00|15.00|7.00
43.235406|76.892700|44024092|43.204006|76.893291|2024-08-09 07:15:28+03|11.00|24.00|13.00
43.235406|76.892700|44024092|43.207811|76.883975|2024-08-09 09:48:09+03|1.00|19.00|19.00
43.235406|76.892700|44024092|43.200300|76.890973|2024-08-09 07:49:36+03|4.00|10.00|20.00
43.235406|76.892700|44024472|43.218793|76.829304|2024-08-09 09:58:21+03|3.00|25.00|10.00
43.235406|76.892700|44071970|43.214592|76.890668|2024-08-09 08:45:48+03|11.00|6.00|6.00
43.235406|76.892700|44024472|43.218793|76.829304|2024-08-09 09:58:21+03|7.00|10.00|12.00
43.235406|76.892700|43751141|43.191650|76.850873|2024-08-09 10:34:25+03|2.00|25.00|20.00
43.235406|76.892700|44024472|43.230713|76.829556|NULL|4.00|26.00|22.00
43.235406|76.892700|43751141|43.191650|76.850873|2024-08-09 10:34:25+03|9.00|5.00|5.00
43.235406|76.892700|43751141|43.191650|76.850873|2024-08-09 10:34:25+03|10.00|5.00|5.00
43.235406|76.892700|44024092|43.197401|76.889365|2024-08-09 08:06:18+03|29.00|9.00|7.00
43.235406|76.892700|44024507|43.185656|76.864320|2024-08-09 09:35:28+03|1.00|18.00|10.00
