client,route,time,lat,lng
135,1,74.600000,43.234969,76.890919
135,1,374.600000,43.234969,76.890919
135,1,674.600000,43.234969,76.890919
135,1,974.600000,43.234969,76.890919
135,1,1274.600000,43.234969,76.890919
135,1,1574.600000,43.234969,76.890919
89,1,2058.200000,43.233577,76.886446
89,1,2358.200000,43.233577,76.886446
227,1,2710.300000,43.233176,76.884865
42,1,3034.300000,43.232270,76.884101
224,2,133.700000,43.233767,76.892276
224,2,433.700000,43.233767,76.892276
224,2,733.700000,43.233767,76.892276
224,2,1033.700000,43.233767,76.892276
224,2,1333.700000,43.233767,76.892276
224,2,1633.700000,43.233767,76.892276
231,2,2022.200000,43.233833,76.893129
261,2,2437.000000,43.227271,76.891252
261,2,2737.000000,43.227271,76.891252
29,2,3180.400000,43.230148,76.885422
122,3,182.200000,43.231948,76.884901
122,3,482.200000,43.231948,76.884901
212,3,847.400000,43.231534,76.882439
19,3,1244.500000,43.229393,76.883562
29,3,1669.400000,43.230148,76.885422
29,3,1969.400000,43.230148,76.885422
201,3,2460.400000,43.236986,76.880283
202,3,2851.000000,43.232808,76.879196
9,3,3237.200000,43.232992,76.874381
258,3,3646.100000,43.231153,76.874283
155,4,185.300000,43.231344,76.870375
155,4,485.300000,43.231344,76.870375
155,4,785.300000,43.231344,76.870375
155,4,1085.300000,43.231344,76.870375
155,4,1385.300000,43.231344,76.870375
10,4,1720.000000,43.230628,76.869728
258,4,2212.800000,43.231153,76.874283
258,4,2512.800000,43.231153,76.874283
258,4,2812.800000,43.231153,76.874283
258,4,3112.800000,43.231153,76.874283
258,5,255.800000,43.231153,76.874283
258,5,555.800000,43.231153,76.874283
209,5,1002.500000,43.228197,76.879053
209,5,1302.500000,43.228197,76.879053
209,5,1602.500000,43.228197,76.879053
209,5,1902.500000,43.228197,76.879053
209,5,2202.500000,43.228197,76.879053
209,5,2502.500000,43.228197,76.879053
179,5,2842.500000,43.227915,76.880858
179,5,3142.500000,43.227915,76.880858
117,6,249.400000,43.241255,76.877606
117,6,549.400000,43.241255,76.877606
44,6,897.900000,43.241123,76.876133
3,6,1215.200000,43.241767,76.876007
113,6,1707.900000,43.242818,76.885206
138,6,2189.000000,43.249483,76.883517
73,6,2536.900000,43.249102,76.882215
1,6,2975.100000,43.253121,76.879619
213,6,3318.600000,43.252674,76.877651
213,6,3618.600000,43.252674,76.877651
111,7,206.600000,43.219250,76.879924
36,7,538.300000,43.218245,76.880364
36,7,838.300000,43.218245,76.880364
34,7,1155.000000,43.216786,76.880697
193,7,1536.700000,43.215748,76.883868
250,7,1865.200000,43.216438,76.883598
250,7,2165.200000,43.216438,76.883598
198,7,2471.200000,43.216740,76.884065
193,7,2806.800000,43.215748,76.883868
234,7,3157.000000,43.215341,76.882619
14,8,237.500000,43.219204,76.888207
14,8,537.500000,43.219204,76.888207
14,8,837.500000,43.219204,76.888207
14,8,1137.500000,43.219204,76.888207
47,8,1584.400000,43.213928,76.885619
47,8,1884.400000,43.213928,76.885619
102,8,2366.300000,43.214592,76.890668
102,8,2666.300000,43.214592,76.890668
102,8,2966.300000,43.214592,76.890668
204,8,3312.500000,43.214559,76.892393
154,9,230.300000,43.222331,76.879268
234,9,631.300000,43.215341,76.882619
195,9,931.300000,43.215341,76.882610
221,9,1276.600000,43.215367,76.882709
208,9,1716.900000,43.209513,76.881954
100,9,2094.200000,43.207811,76.883975
127,9,2447.700000,43.206773,76.885000
127,9,2747.700000,43.206773,76.885000
164,9,3081.200000,43.206569,76.886293
164,9,3381.200000,43.206569,76.886293
204,10,235.900000,43.214559,76.892393
204,10,535.900000,43.214559,76.892393
99,10,967.400000,43.204006,76.893291
61,10,1433.400000,43.207798,76.888287
164,10,1915.600000,43.206569,76.886293
164,10,2215.600000,43.206569,76.886293
75,10,2647.100000,43.205879,76.885323
75,10,2947.100000,43.205879,76.885323
191,10,3248.400000,43.205938,76.885224
191,10,3548.400000,43.205938,76.885224
211,11,289.600000,43.233262,76.869701
69,11,680.600000,43.233735,76.868848
69,11,980.600000,43.233735,76.868848
143,11,1537.400000,43.228361,76.870519
125,11,1985.600000,43.225038,76.871363
262,11,2439.800000,43.217548,76.869656
161,11,2772.200000,43.218941,76.870034
240,11,3093.700000,43.219480,76.869836
257,11,3578.500000,43.212331,76.876726
4,11,3985.100000,43.211438,76.879538
263,12,269.000000,43.252596,76.886877
88,12,782.300000,43.247159,76.875091
200,12,1143.600000,43.248019,76.875630
185,12,1678.500000,43.254460,76.876627
97,12,2047.100000,43.255143,76.878343
260,12,2387.800000,43.255714,76.877382
54,12,2720.300000,43.255163,76.876475
223,12,3126.900000,43.256476,76.875980
223,12,3426.900000,43.256476,76.875980
223,12,3726.900000,43.256476,76.875980
145,13,378.700000,43.235435,76.861732
124,13,726.000000,43.235180,76.862263
124,13,1026.000000,43.235180,76.862263
230,13,1492.700000,43.232638,76.865398
107,13,2082.700000,43.227153,76.866404
107,13,2382.700000,43.227153,76.866404
256,13,2865.700000,43.223829,76.859344
49,13,3333.300000,43.230280,76.861212
82,13,3679.200000,43.229399,76.860871
82,13,3979.200000,43.229399,76.860871
90,14,343.600000,43.221700,76.865299
90,14,643.600000,43.221700,76.865299
217,14,1150.000000,43.212929,76.864518
43,14,1665.500000,43.209683,76.875873
222,14,2083.400000,43.208297,76.874885
222,14,2383.400000,43.208297,76.874885
191,14,2865.300000,43.205938,76.885224
118,14,3204.500000,43.205103,76.886311
118,14,3504.500000,43.205103,76.886311
76,14,3807.600000,43.205215,76.886266
133,15,311.000000,43.204584,76.892644
13,15,652.300000,43.204387,76.890928
252,15,1017.000000,43.205143,76.887236
252,15,1317.000000,43.205143,76.887236
252,15,1617.000000,43.205143,76.887236
252,15,1917.000000,43.205143,76.887236
252,15,2217.000000,43.205143,76.887236
252,15,2517.000000,43.205143,76.887236
76,15,2937.200000,43.205215,76.886266
76,15,3237.200000,43.205215,76.886266
167,16,361.200000,43.225914,76.858738
167,16,661.200000,43.225914,76.858738
167,16,961.200000,43.225914,76.858738
167,16,1261.200000,43.225914,76.858738
5,16,1676.900000,43.221556,76.853612
78,16,2012.200000,43.222384,76.854807
78,16,2312.200000,43.222384,76.854807
78,16,2612.200000,43.222384,76.854807
78,16,2912.200000,43.222384,76.854807
176,16,3418.400000,43.215860,76.861886
223,17,381.600000,43.256476,76.875980
162,17,793.200000,43.256364,76.873286
162,17,1093.200000,43.256364,76.873286
162,17,1393.200000,43.256364,76.873286
162,17,1693.200000,43.256364,76.873286
190,17,2300.000000,43.251184,76.869522
266,17,2665.300000,43.253364,76.869117
266,17,2965.300000,43.253364,76.869117
266,17,3265.300000,43.253364,76.869117
126,17,3637.500000,43.255636,76.867554
220,18,388.900000,43.263947,76.884676
220,18,688.900000,43.263947,76.884676
171,18,1096.600000,43.265930,76.879071
15,18,1461.700000,43.264243,76.879008
15,18,1761.700000,43.264243,76.879008
15,18,2061.700000,43.264243,76.879008
15,18,2361.700000,43.264243,76.879008
57,18,2796.100000,43.259358,76.876744
32,18,3351.200000,43.251965,76.864653
123,18,3789.000000,43.248853,76.861670
45,19,376.900000,43.251991,76.873681
45,19,676.900000,43.251991,76.873681
95,19,1098.500000,43.254060,76.873330
95,19,1398.500000,43.254060,76.873330
95,19,1698.500000,43.254060,76.873330
95,19,1998.500000,43.254060,76.873330
95,19,2298.500000,43.254060,76.873330
123,19,2911.900000,43.248853,76.861670
123,19,3211.900000,43.248853,76.861670
123,19,3511.900000,43.248853,76.861670
163,20,393.100000,43.235271,76.851888
163,20,693.100000,43.235271,76.851888
163,20,993.100000,43.235271,76.851888
163,20,1293.100000,43.235271,76.851888
247,20,1787.900000,43.228710,76.849983
235,20,2196.300000,43.226496,76.847423
235,20,2496.300000,43.226496,76.847423
255,20,2941.400000,43.230069,76.841818
33,20,3390.700000,43.223106,76.847351
134,20,3702.000000,43.222476,76.847836
173,21,363.500000,43.203848,76.889994
2,21,776.900000,43.200300,76.890973
2,21,1076.900000,43.200300,76.890973
2,21,1376.900000,43.200300,76.890973
189,21,1727.300000,43.199544,76.893596
214,21,2156.300000,43.195469,76.893543
237,21,2705.000000,43.203217,76.890345
18,21,3149.600000,43.203211,76.887012
23,21,3594.400000,43.199537,76.888359
158,21,4038.700000,43.196218,76.888332
170,22,382.000000,43.219007,76.861931
152,22,783.500000,43.217010,76.859110
165,22,1387.000000,43.209598,76.862137
93,22,1820.800000,43.211438,76.861212
93,22,2120.800000,43.211438,76.861212
93,22,2420.800000,43.211438,76.861212
243,22,2944.700000,43.203986,76.861625
243,22,3244.700000,43.203986,76.861625
74,22,3775.100000,43.203112,76.869908
81,22,4203.800000,43.204308,76.871453
123,23,399.500000,43.248853,76.861670
123,23,699.500000,43.248853,76.861670
123,23,999.500000,43.248853,76.861670
123,23,1299.500000,43.248853,76.861670
146,23,1655.800000,43.250206,76.860153
146,23,1955.800000,43.250206,76.860153
146,23,2255.800000,43.250206,76.860153
146,23,2555.800000,43.250206,76.860153
146,23,2855.800000,43.250206,76.860153
112,23,3319.400000,43.253600,76.853136
22,24,448.100000,43.223527,76.850064
194,24,992.700000,43.220669,76.847944
59,24,1416.300000,43.223694,76.845267
59,24,1716.300000,43.223694,76.845267
59,24,2016.300000,43.223694,76.845267
8,24,2345.800000,43.223770,76.843812
63,24,2742.600000,43.226667,76.841009
63,24,3042.600000,43.226667,76.841009
259,24,3580.700000,43.236782,76.841189
196,24,4059.200000,43.238365,76.845968
183,25,358.600000,43.212870,76.854349
40,25,850.800000,43.212588,76.856352
25,25,1355.500000,43.202002,76.872899
174,25,1727.600000,43.199872,76.873483
177,25,2090.700000,43.199064,76.874929
79,25,2560.100000,43.196534,76.875945
79,25,2860.100000,43.196534,76.875945
218,25,3279.900000,43.197796,76.880418
218,25,3579.900000,43.197796,76.880418
218,25,3879.900000,43.197796,76.880418
183,26,358.600000,43.212870,76.854349
248,26,700.900000,43.210965,76.847019
248,26,1000.900000,43.210965,76.847019
248,26,1300.900000,43.210965,76.847019
248,26,1600.900000,43.210965,76.847019
166,26,1995.100000,43.210925,76.840533
166,26,2295.100000,43.210925,76.840533
192,26,2699.800000,43.215045,76.843470
192,26,2999.800000,43.215045,76.843470
26,26,3442.300000,43.219329,76.841584
183,27,358.600000,43.212870,76.854349
6,27,704.600000,43.211287,76.848797
265,27,1192.500000,43.203020,76.848986
251,27,1538.500000,43.203671,76.850280
251,27,1838.500000,43.203671,76.850280
38,27,2245.700000,43.199879,76.843003
38,27,2545.700000,43.199879,76.843003
56,27,2985.500000,43.205813,76.842680
56,27,3285.500000,43.205813,76.842680
56,27,3585.500000,43.205813,76.842680
194,28,448.300000,43.220669,76.847944
194,28,748.300000,43.220669,76.847944
194,28,1048.300000,43.220669,76.847944
26,28,1551.400000,43.219329,76.841584
26,28,1851.400000,43.219329,76.841584
142,28,2332.000000,43.216780,76.837245
142,28,2632.000000,43.216780,76.837245
131,28,3112.100000,43.213396,76.835907
149,28,3521.400000,43.207541,76.837667
149,28,3821.400000,43.207541,76.837667
108,29,390.000000,43.212305,76.853136
149,29,860.500000,43.207541,76.837667
149,29,1160.500000,43.207541,76.837667
56,29,1561.500000,43.205813,76.842680
156,29,1926.000000,43.203467,76.839612
31,29,2253.700000,43.202705,76.838224
31,29,2553.700000,43.202705,76.838224
168,29,2897.300000,43.198440,76.841575
168,29,3197.300000,43.198440,76.841575
168,29,3497.300000,43.198440,76.841575
218,30,455.600000,43.197796,76.880418
218,30,755.600000,43.197796,76.880418
218,30,1055.600000,43.197796,76.880418
218,30,1355.600000,43.197796,76.880418
52,30,1735.300000,43.199583,76.880760
52,30,2035.300000,43.199583,76.880760
225,30,2458.000000,43.197283,76.878271
225,30,2758.000000,43.197283,76.878271
245,30,3064.800000,43.197027,76.878280
158,30,3606.800000,43.196218,76.888332
219,31,429.600000,43.198959,76.868318
219,31,729.600000,43.198959,76.868318
219,31,1029.600000,43.198959,76.868318
219,31,1329.600000,43.198959,76.868318
219,31,1629.600000,43.198959,76.868318
219,31,1929.600000,43.198959,76.868318
219,31,2229.600000,43.198959,76.868318
219,31,2529.600000,43.198959,76.868318
219,31,2829.600000,43.198959,76.868318
219,31,3129.600000,43.198959,76.868318
219,32,429.600000,43.198959,76.868318
219,32,729.600000,43.198959,76.868318
132,32,1046.000000,43.198762,76.867608
116,32,1355.000000,43.198157,76.867842
137,32,1753.900000,43.196862,76.871049
20,32,2182.300000,43.191585,76.882179
105,32,2789.400000,43.197401,76.889365
96,32,3096.900000,43.197802,76.889482
96,32,3396.900000,43.197802,76.889482
96,32,3696.900000,43.197802,76.889482
39,33,492.900000,43.229518,76.832152
39,33,792.900000,43.229518,76.832152
130,33,1195.300000,43.231751,76.832188
148,33,1626.700000,43.227567,76.832475
148,33,1926.700000,43.227567,76.832475
148,33,2226.700000,43.227567,76.832475
35,33,2622.500000,43.227304,76.836014
35,33,2922.500000,43.227304,76.836014
35,33,3222.500000,43.227304,76.836014
140,33,3594.900000,43.226273,76.836500
96,34,547.200000,43.197802,76.889482
96,34,847.200000,43.197802,76.889482
96,34,1147.200000,43.197802,76.889482
96,34,1447.200000,43.197802,76.889482
96,34,1747.200000,43.197802,76.889482
96,34,2047.200000,43.197802,76.889482
96,34,2347.200000,43.197802,76.889482
96,34,2647.200000,43.197802,76.889482
96,34,2947.200000,43.197802,76.889482
119,34,3654.700000,43.190033,76.874022
85,35,562.300000,43.239068,76.837586
94,35,1008.800000,43.238963,76.831891
66,35,1396.900000,43.237301,76.831963
28,35,1812.100000,43.236152,76.832367
104,35,2246.000000,43.230713,76.829556
64,35,2740.100000,43.229728,76.836814
207,35,3081.800000,43.229649,76.834990
140,35,3525.400000,43.226273,76.836500
129,35,4014.200000,43.221924,76.838215
129,35,4314.200000,43.221924,76.838215
83,36,505.500000,43.253456,76.846462
83,36,805.500000,43.253456,76.846462
83,36,1105.500000,43.253456,76.846462
112,36,1497.000000,43.253600,76.853136
17,36,1909.100000,43.257428,76.856146
188,36,2398.900000,43.261571,76.863826
188,36,2698.900000,43.261571,76.863826
188,36,2998.900000,43.261571,76.863826
188,36,3298.900000,43.261571,76.863826
188,36,3598.900000,43.261571,76.863826
188,37,558.700000,43.261571,76.863826
188,37,858.700000,43.261571,76.863826
180,37,1232.400000,43.262286,76.861724
233,37,1736.900000,43.268411,76.850729
233,37,2036.900000,43.268411,76.850729
153,37,2479.400000,43.269770,76.848214
153,37,2779.400000,43.269770,76.848214
246,37,3232.200000,43.269980,76.857879
246,37,3532.200000,43.269980,76.857879
242,37,4001.800000,43.276196,76.852570
77,38,509.700000,43.255675,76.846165
77,38,809.700000,43.255675,76.846165
264,38,1151.700000,43.256456,76.844414
80,38,1488.800000,43.257074,76.842806
199,38,2210.800000,43.246206,76.840695
199,38,2510.800000,43.246206,76.840695
199,38,2810.800000,43.246206,76.840695
210,38,3460.600000,43.241150,76.835889
114,38,3989.200000,43.238247,76.828316
115,38,4439.800000,43.239147,76.826358
172,39,551.700000,43.193464,76.867626
229,39,1059.800000,43.188318,76.862802
229,39,1359.800000,43.188318,76.862802
229,39,1659.800000,43.188318,76.862802
229,39,1959.800000,43.188318,76.862802
229,39,2259.800000,43.188318,76.862802
229,39,2559.800000,43.188318,76.862802
229,39,2859.800000,43.188318,76.862802
229,39,3159.800000,43.188318,76.862802
229,39,3459.800000,43.188318,76.862802
139,40,506.300000,43.207916,76.835080
187,40,961.700000,43.209946,76.829744
101,40,1522.200000,43.218793,76.829304
101,40,1822.200000,43.218793,76.829304
129,40,2385.300000,43.221924,76.838215
129,40,2685.300000,43.221924,76.838215
129,40,2985.300000,43.221924,76.838215
129,40,3285.300000,43.221924,76.838215
129,40,3585.300000,43.221924,76.838215
226,40,4226.500000,43.234785,76.823393
67,41,562.700000,43.193957,76.848106
186,41,999.000000,43.195252,76.843695
121,41,1490.500000,43.193359,76.839509
103,41,2100.400000,43.191650,76.850873
103,41,2400.400000,43.191650,76.850873
103,41,2700.400000,43.191650,76.850873
92,41,3264.900000,43.190480,76.856119
206,41,3604.000000,43.190717,76.854807
206,41,3904.000000,43.190717,76.854807
206,41,4204.000000,43.190717,76.854807
239,42,563.900000,43.213823,76.822701
110,42,1197.800000,43.209007,76.823896
110,42,1497.800000,43.209007,76.823896
136,42,2126.700000,43.201345,76.831361
136,42,2426.700000,43.201345,76.831361
150,42,2743.900000,43.202422,76.832161
141,42,3188.300000,43.198197,76.832556
84,42,3729.600000,43.185912,76.836329
87,42,4073.600000,43.184486,76.840704
203,42,4443.100000,43.182415,76.844495
51,43,581.300000,43.208875,76.829511
51,43,881.300000,43.208875,76.829511
12,43,1760.900000,43.235712,76.823806
86,43,2188.400000,43.239851,76.825710
86,43,2488.400000,43.239851,76.825710
115,43,3013.200000,43.239147,76.826358
115,43,3313.200000,43.239147,76.826358
169,43,3993.500000,43.251538,76.842168
169,43,4293.500000,43.251538,76.842168
169,43,4593.500000,43.251538,76.842168
144,44,572.400000,43.273492,76.867752
144,44,872.400000,43.273492,76.867752
144,44,1172.400000,43.273492,76.867752
144,44,1472.400000,43.273492,76.867752
144,44,1772.400000,43.273492,76.867752
144,44,2072.400000,43.273492,76.867752
144,44,2372.400000,43.273492,76.867752
144,44,2672.400000,43.273492,76.867752
144,44,2972.400000,43.273492,76.867752
144,44,3272.400000,43.273492,76.867752
144,45,572.400000,43.273492,76.867752
157,45,1205.800000,43.278533,76.878972
241,45,1992.500000,43.276912,76.844575
241,45,2292.500000,43.276912,76.844575
91,45,2800.000000,43.265516,76.841683
232,45,3197.900000,43.268313,76.837326
11,45,3645.400000,43.260652,76.844773
11,45,3945.400000,43.260652,76.844773
30,45,4318.400000,43.259746,76.845240
30,45,4618.400000,43.259746,76.845240
253,46,712.200000,43.189659,76.854295
253,46,1012.200000,43.189659,76.854295
184,46,1563.100000,43.189514,76.861940
229,46,1894.600000,43.188318,76.862802
229,46,2194.600000,43.188318,76.862802
229,46,2494.600000,43.188318,76.862802
27,46,2881.200000,43.183887,76.861518
178,46,3240.100000,43.185012,76.862182
106,46,3652.000000,43.185656,76.864320
106,46,3952.000000,43.185656,76.864320
228,47,643.200000,43.189429,76.867967
119,47,1061.600000,43.190033,76.874022
53,47,1400.300000,43.188653,76.874534
53,47,1700.300000,43.188653,76.874534
216,47,2030.600000,43.187595,76.875037
244,47,2399.800000,43.188988,76.875190
244,47,2699.800000,43.188988,76.875190
16,47,3203.100000,43.184505,76.868147
16,47,3503.100000,43.184505,76.868147
16,47,3803.100000,43.184505,76.868147
60,48,692.200000,43.183151,76.871606
60,48,992.200000,43.183151,76.871606
60,48,1292.200000,43.183151,76.871606
197,48,1912.100000,43.184926,76.869126
197,48,2212.100000,43.184926,76.869126
109,48,2752.100000,43.180035,76.868569
109,48,3052.100000,43.180035,76.868569
109,48,3352.100000,43.180035,76.868569
109,48,3652.100000,43.180035,76.868569
109,48,3952.100000,43.180035,76.868569
50,49,685.700000,43.189573,76.870186
24,49,1034.100000,43.188160,76.869558
24,49,1334.100000,43.188160,76.869558
24,49,1634.100000,43.188160,76.869558
182,49,1946.400000,43.188206,76.870366
182,49,2246.400000,43.188206,76.870366
182,49,2546.400000,43.188206,76.870366
182,49,2846.400000,43.188206,76.870366
62,49,3178.200000,43.187168,76.869944
159,49,3486.200000,43.187536,76.868929
58,50,701.900000,43.188817,76.868345
