client,route,time,lat,lng
123,1,112.200000,43.248853,76.861670
29,1,436.200000,43.230148,76.885422
75,1,782.200000,43.205879,76.885323
118,1,1147.400000,43.205103,76.886311
14,1,1544.500000,43.219204,76.888207
19,1,1969.400000,43.229393,76.883562
56,1,2388.100000,43.205813,76.842680
110,2,139.400000,43.209007,76.823896
8,2,525.600000,43.223770,76.843812
9,2,898.700000,43.232992,76.874381
87,2,1273.000000,43.184486,76.840704
77,2,1721.200000,43.255675,76.846165
125,2,2375.100000,43.225038,76.871363
123,2,2754.800000,43.248853,76.861670
95,3,656.700000,43.254060,76.873330
88,3,1268.400000,43.247159,76.875091
131,3,1846.000000,43.213396,76.835907
78,3,2422.600000,43.222384,76.854807
141,3,2786.000000,43.198197,76.832556
107,3,3142.900000,43.227153,76.866404
123,3,3644.400000,43.248853,76.861670
60,3,4032.000000,43.183151,76.871606
1,3,4415.000000,43.253121,76.879619
135,4,255.800000,43.234969,76.890919
116,4,702.500000,43.198157,76.867842
2,4,1042.500000,43.200300,76.890973
93,4,1473.600000,43.211438,76.861212
26,4,1814.500000,43.219329,76.841584
24,4,2131.200000,43.188160,76.869558
62,4,2525.000000,43.187168,76.869944
96,4,2904.000000,43.197802,76.889482
78,4,3235.800000,43.222384,76.854807
128,5,278.200000,43.250435,76.827561
109,5,607.800000,43.180035,76.868569
123,5,982.400000,43.248853,76.861670
3,5,1425.200000,43.241767,76.876007
30,5,1823.700000,43.259746,76.845240
135,5,2215.200000,43.234969,76.890919
31,5,2812.700000,43.202705,76.838224
63,5,3294.600000,43.226667,76.841009
12,5,3725.500000,43.235712,76.823806
117,6,289.600000,43.241255,76.877606
45,6,680.600000,43.251991,76.873681
79,6,1313.300000,43.196534,76.875945
129,6,2202.300000,43.221924,76.838215
96,6,2980.100000,43.197802,76.889482
96,6,3815.700000,43.197802,76.889482
138,6,4377.000000,43.249483,76.883517
129,6,4730.900000,43.221924,76.838215
95,6,5053.500000,43.254060,76.873330
82,7,74.600000,43.229399,76.860871
83,7,621.600000,43.253456,76.846462
48,7,969.500000,43.188489,76.866872
109,7,1414.000000,43.180035,76.868569
96,7,2010.500000,43.197802,76.889482
136,7,2450.900000,43.201345,76.831361
37,7,2783.400000,43.176788,76.845590
103,7,3138.300000,43.191650,76.850873
118,7,3525.000000,43.205103,76.886311
109,8,272.200000,43.180035,76.868569
109,8,636.000000,43.180035,76.868569
127,8,936.000000,43.206773,76.885000
48,8,1437.500000,43.188489,76.866872
72,8,1740.600000,43.247539,76.816638
108,8,2079.800000,43.212305,76.853136
48,8,2381.100000,43.188489,76.866872
52,8,2860.200000,43.199583,76.880760
123,8,3302.100000,43.248853,76.861670
96,9,361.200000,43.197802,76.889482
135,9,757.400000,43.234969,76.890919
66,9,1196.800000,43.237301,76.831963
132,9,1758.100000,43.198762,76.867608
127,9,2166.500000,43.206773,76.885000
77,9,2738.400000,43.255675,76.846165
89,9,3083.900000,43.233577,76.886446
124,9,3564.800000,43.235180,76.862263
110,9,4083.600000,43.209007,76.823896
35,10,369.800000,43.227304,76.836014
134,10,809.800000,43.222476,76.847836
14,10,1194.600000,43.219204,76.888207
96,10,1593.900000,43.197802,76.889482
128,10,1965.800000,43.250435,76.827561
11,10,2350.900000,43.260652,76.844773
81,10,2684.600000,43.204308,76.871453
61,10,3022.800000,43.207798,76.888287
137,10,3530.500000,43.196862,76.871049
30,11,270.400000,43.259746,76.845240
2,11,587.700000,43.200300,76.890973
57,11,1081.500000,43.259358,76.876744
59,11,1563.100000,43.223694,76.845267
39,11,2056.300000,43.229518,76.832152
13,11,2485.700000,43.204387,76.890928
96,11,2857.100000,43.197802,76.889482
122,11,3264.600000,43.231948,76.884901
139,11,3743.900000,43.207916,76.835080
106,12,558.700000,43.185656,76.864320
101,12,932.400000,43.218793,76.829304
14,12,1416.700000,43.219204,76.888207
53,12,1908.500000,43.188653,76.874534
49,12,2248.200000,43.230280,76.861212
140,12,2590.200000,43.226273,76.836500
51,12,2927.300000,43.208875,76.829511
68,12,3363.000000,43.282416,76.829908
68,12,4047.200000,43.282416,76.829908
50,13,386.600000,43.189573,76.870186
4,13,723.100000,43.211438,76.879538
96,13,1279.100000,43.197802,76.889482
59,13,1712.900000,43.223694,76.845267
120,13,2058.100000,43.259529,76.799893
98,13,2493.700000,43.259352,76.840632
92,13,2931.000000,43.190480,76.856119
96,13,3336.100000,43.197802,76.889482
56,13,3856.900000,43.205813,76.842680
130,14,500.900000,43.231751,76.832188
123,14,807.700000,43.248853,76.861670
15,14,1330.600000,43.264243,76.879008
60,14,1781.800000,43.183151,76.871606
64,14,2089.300000,43.229728,76.836814
95,14,2492.400000,43.254060,76.873330
90,14,3217.500000,43.221700,76.865299
2,14,3974.200000,43.200300,76.890973
107,14,4324.600000,43.227153,76.866404
15,15,448.100000,43.264243,76.879008
135,15,959.500000,43.234969,76.890919
82,15,1420.100000,43.229399,76.860871
23,15,1731.400000,43.199537,76.888359
40,15,2107.000000,43.212588,76.856352
7,15,2436.500000,43.170482,76.872243
41,15,2833.300000,43.238825,76.802714
136,15,3371.400000,43.201345,76.831361
109,15,3849.900000,43.180035,76.868569
67,16,390.000000,43.193957,76.848106
29,16,897.200000,43.230148,76.885422
83,16,1390.900000,43.253456,76.846462
121,16,1865.400000,43.193359,76.839509
51,16,2285.500000,43.208875,76.829511
99,16,2752.000000,43.204006,76.893291
97,16,3110.900000,43.255143,76.878343
16,16,3474.200000,43.184505,76.868147
48,16,3912.500000,43.188489,76.866872
109,17,448.300000,43.180035,76.868569
16,17,951.400000,43.184505,76.868147
106,17,1402.900000,43.185656,76.864320
96,17,1810.000000,43.197802,76.889482
76,17,2256.300000,43.205215,76.886266
21,17,2633.500000,43.250849,76.798779
94,17,2961.100000,43.238963,76.831891
38,17,3329.800000,43.199879,76.843003
140,17,3729.800000,43.226273,76.836500
103,18,358.600000,43.191650,76.850873
133,18,700.900000,43.204584,76.892644
84,18,1106.300000,43.185912,76.836329
79,18,1512.300000,43.196534,76.875945
63,18,1931.500000,43.226667,76.841009
86,18,2371.400000,43.239851,76.825710
25,18,2860.500000,43.202002,76.872899
85,18,3232.900000,43.239068,76.837586
78,18,3721.700000,43.222384,76.854807
68,19,206.600000,43.282416,76.829908
96,19,772.000000,43.197802,76.889482
119,19,1380.900000,43.190033,76.874022
103,19,2004.100000,43.191650,76.850873
44,19,2431.900000,43.241123,76.876133
27,19,2895.200000,43.183887,76.861518
58,19,3474.700000,43.188817,76.868345
135,19,4163.200000,43.234969,76.890919
113,19,4548.200000,43.242818,76.885206
70,20,455.000000,43.170417,76.872782
96,20,888.700000,43.197802,76.889482
101,20,1515.200000,43.218793,76.829304
34,20,1868.300000,43.216786,76.880697
129,20,2392.100000,43.221924,76.838215
120,20,2762.200000,43.259529,76.799893
36,20,3092.500000,43.218245,76.880364
73,20,3431.200000,43.249102,76.882215
115,20,4176.200000,43.239147,76.826358
54,21,562.300000,43.255163,76.876475
117,21,1031.000000,43.241255,76.877606
59,21,1537.300000,43.223694,76.845267
43,21,1925.400000,43.209683,76.875873
18,21,2340.600000,43.203211,76.887012
90,21,2814.600000,43.221700,76.865299
114,21,3275.000000,43.238247,76.828316
41,21,3620.200000,43.238825,76.802714
28,21,4064.300000,43.236152,76.832367
93,22,185.300000,43.211438,76.861212
58,22,848.800000,43.188817,76.868345
123,22,1257.100000,43.248853,76.861670
69,22,1688.100000,43.233735,76.868848
69,22,2138.700000,43.233735,76.868848
11,22,2579.000000,43.260652,76.844773
55,22,3006.500000,43.260297,76.826906
109,22,3533.100000,43.180035,76.868569
76,22,4098.800000,43.205215,76.886266
122,23,429.600000,43.231948,76.884901
80,23,746.000000,43.257074,76.842806
124,23,1224.600000,43.235180,76.862263
104,23,1556.100000,43.230713,76.829556
17,23,1934.200000,43.257428,76.856146
112,23,2303.900000,43.253600,76.853136
65,23,2743.700000,43.241636,76.816314
100,23,3147.000000,43.207811,76.883975
58,23,3598.800000,43.188817,76.868345
129,24,563.900000,43.221924,76.838215
83,24,1272.400000,43.253456,76.846462
76,24,1589.600000,43.205215,76.886266
86,24,2034.000000,43.239851,76.825710
53,24,2575.300000,43.188653,76.874534
75,24,3022.700000,43.205879,76.885323
35,24,3604.400000,43.227304,76.836014
105,24,3956.800000,43.197401,76.889365
68,24,4494.500000,43.282416,76.829908
30,25,376.900000,43.259746,76.845240
60,25,1065.400000,43.183151,76.871606
10,25,1429.800000,43.230628,76.869728
56,25,1864.400000,43.205813,76.842680
126,25,2262.300000,43.255636,76.867554
45,25,2756.700000,43.251991,76.873681
129,25,3256.600000,43.221924,76.838215
115,25,3739.700000,43.239147,76.826358
129,25,4163.900000,43.221924,76.838215
71,26,249.400000,43.173467,76.866000
22,26,915.400000,43.223527,76.850064
89,26,1321.200000,43.233577,76.886446
20,26,1934.700000,43.191585,76.882179
102,26,2249.900000,43.214592,76.890668
128,26,2550.000000,43.250435,76.827561
38,26,3050.000000,43.199879,76.843003
91,26,3499.400000,43.265516,76.841683
78,26,4055.900000,43.222384,76.854807
112,27,235.900000,43.253600,76.853136
119,27,790.300000,43.190033,76.874022
15,27,1324.200000,43.264243,76.879008
123,27,1844.500000,43.248853,76.861670
14,27,2284.300000,43.219204,76.888207
68,27,2693.900000,43.282416,76.829908
135,27,3034.400000,43.234969,76.890919
109,27,3603.900000,43.180035,76.868569
35,27,4211.900000,43.227304,76.836014
36,28,467.400000,43.218245,76.880364
39,28,1173.000000,43.229518,76.832152
32,28,1506.700000,43.251965,76.864653
95,28,1880.700000,43.254060,76.873330
41,28,2188.700000,43.238825,76.802714
16,28,2506.400000,43.184505,76.868147
26,28,3261.100000,43.219329,76.841584
111,28,3705.100000,43.219250,76.879924
56,28,4075.400000,43.205813,76.842680
47,29,698.000000,43.213928,76.885619
42,29,1124.500000,43.232270,76.884101
95,29,1496.200000,43.254060,76.873330
29,29,1955.200000,43.230148,76.885422
74,29,2540.200000,43.203112,76.869908
31,29,2916.100000,43.202705,76.838224
15,29,3345.500000,43.264243,76.879008
115,29,4097.000000,43.239147,76.826358
93,29,4769.200000,43.211438,76.861212
5,30,404.600000,43.221556,76.853612
128,30,905.700000,43.250435,76.827561
6,30,1686.500000,43.211287,76.848797
46,30,2026.600000,43.256266,76.801241
47,30,2477.700000,43.213928,76.885619
98,30,2906.400000,43.259352,76.840632
129,30,3660.200000,43.221924,76.838215
52,30,4366.600000,43.199583,76.880760
33,30,4717.200000,43.223106,76.847351
