office_id;lat;long;shk_cnt
310764;52.2263310000;104.3147870000;110
215752;53.1671150000;103.0479020000;557
213287;52.7303310000;103.6564670000;251
5640;52.2062020000;104.0655350000;607
211386;52.2537250000;104.2363050000;409
308945;52.2580510000;104.2674190000;469
215837;53.3928870000;103.8604730000;209
3864;52.5189030000;103.8423350000;638
314752;54.1072880000;102.1661080000;133
3146;52.2797140000;104.3314790000;933
309717;52.3410430000;104.2226340000;107
312711;52.3541560000;104.2241740000;180
50005322;52.7691650000;103.6664730000;139
309198;52.5266260000;103.9001520000;143
50006010;52.4968390000;103.8311900000;178
168975;52.2756870000;104.3806610000;379
147378;52.3530780000;104.2136820000;378
50002175;52.2224790000;104.2512350000;88
163381;52.2205720000;104.2931020000;466
302157;54.0267730000;103.6082890000;162
50001973;52.2917080000;104.2495880000;107
215376;52.8688880000;103.4674780000;385
50000817;52.3126850000;104.2931920000;242
50005179;52.5401080000;103.5863700000;91
5053;54.1078070000;102.1611120000;568
103173;52.8001200000;104.7313990000;844
211349;52.7346360000;103.6609370000;271
145915;52.2120203600;104.0660104130;483
50003028;52.2195340000;104.3005850000;271
321144;52.2803980000;104.3049690000;59
50005670;52.2795030000;104.3001130000;28
50005844;52.2636530000;104.2055650000;96
5237;52.2648487410;104.2604962460;312
304744;51.6669930300;103.6913295690;254
134954;52.2530160000;104.3679040000;366
50004588;52.8295680000;103.5257430000;114
50000415;52.8041140000;104.7550340000;127
303879;52.2574220000;104.2404160000;136
315415;52.7606750000;103.6430180000;134
213762;51.7444440000;102.5398240000;297
50006968;54.1151650000;102.1647590000;165
149617;52.2093180000;104.0632760000;531
136102;52.5069420000;103.8687230000;432
50007634;53.6543330000;103.7365330000;51
212575;52.5345650000;103.8799130000;601
212283;54.1034800330;102.1579998310;376
309139;53.9182590000;102.0414750000;705
310240;52.2610830000;104.3058040000;179
206850;52.8642560000;103.1878690000;443
3061;52.2698740000;104.3153420000;967
306507;52.0766090000;104.0920320000;186
216331;53.9292941270;102.0635492510;518
50000507;52.2323490000;104.3021300000;157
50001767;52.2826130000;104.3167550000;147
308541;52.3485670000;104.1593070000;143
209816;52.3002290000;104.3073850000;318
124237;52.7458450000;103.6647930000;420
217545;52.2648370000;104.2622700000;228
306223;55.6351520000;109.3242070000;515
143785;52.2733250000;104.3146370000;528
305461;52.8191810000;103.3895020000;309
160509;53.1530380000;103.7760000000;443
203394;52.2634960000;104.2572170000;331
50001072;53.9429370000;102.0546710000;351
216609;54.1147500000;102.1602570000;565
106438;52.3120260000;104.3032240000;490
211890;53.5593910000;102.4878480000;281
135874;52.2905450000;104.3565930000;790
309146;52.2828940000;104.3048970000;164
134855;52.3324290000;104.2607970000;635
50000992;52.8007330000;104.7579710000;98
153694;52.2852560000;104.3181790000;327
307928;52.3300020000;104.3137990000;93
301929;56.3424512070;114.8898612710;589
212284;54.1123590020;102.1760668950;436
207839;52.5003200000;103.8471460000;490
316106;52.7372960000;103.6579840000;118
4169;52.4271129320;104.0434082950;502
208744;53.9277240000;102.0548450000;450
136264;52.2528700000;104.3571840000;535
216373;52.4606540000;104.4008640000;438
159637;52.2574610000;104.3088310000;346
303765;52.2574170000;104.2414490000;240
212143;53.1432940000;103.0697720000;345
50008197;52.3156080000;104.1786030000;0
307209;52.2607570000;104.3029830000;195
310259;52.2234460000;104.2361760000;166
50005750;52.5085810000;103.8482170000;128
208640;53.9300550000;102.0509400000;384
217807;52.2611950000;104.2114970000;659
50001963;53.0893570000;103.7793730000;107
308761;52.5348280000;103.8952470000;107
50007503;53.1476670000;103.0750790000;131
50002432;53.9223210000;102.0703820000;149
212052;53.1410400000;103.0740840000;322
50001991;52.5775070000;103.8897490000;42
311803;51.6832450000;102.1291410000;480
50007034;53.0735520000;103.1306910000;122
322081;52.2454080000;104.4040630000;18
205907;52.2071350000;104.2688300000;451
50006824;53.1434960000;104.1377830000;59
50005405;52.2645390000;104.3198720000;353
171820;52.2960320000;104.1502340000;736
150233;52.2589290000;104.3531830000;372
150668;52.3282410000;104.3106280000;467
211665;52.5300984570;103.8611286440;290
216838;52.2833730000;104.1270170000;720
217722;52.2161960000;104.0662060000;356
216774;52.2642379590;104.3035095620;256
171306;52.4640680000;104.2316060000;456
136878;52.4981480000;103.8559600000;352
143508;52.2689850000;104.2071820000;505
50002159;52.5571110000;103.5515790000;230
137256;52.2712170000;104.3379050000;531
120429;52.2656500000;104.3142180000;483
50001295;52.2247800000;104.3025880000;230
206875;52.5001760000;103.8335270000;506
306701;52.2835621210;104.2474068970;227
3325;52.2713135810;104.2991641910;867
312116;52.2369600000;104.4276520000;133
50006856;52.2834340000;104.3429580000;156
316299;53.2784120000;102.8236200000;118
127188;52.2808040000;104.2998270000;296
306923;52.2559390000;104.1843070000;486
207952;55.6409450000;109.3432150000;650
300391;52.2901940000;104.3269320000;445
207522;52.9552800000;103.2990460000;414
172923;51.5233410000;104.1499870000;765
170799;52.4708530000;104.2803830000;705
316804;52.5552720000;103.8831830000;48
3566;52.2997830000;104.2971350000;535
213766;52.2528140000;104.2598550000;389
318957;52.9905450000;102.8478740000;118
212113;52.2857480000;104.2766290000;629
134726;52.3489440000;104.1531760000;518
216813;54.3306070000;101.4968620000;652
311587;53.1359920000;103.0935870000;271
3809;52.5089700000;103.8623960000;713
313693;52.3582260000;104.1434430000;285
137353;54.1122170000;102.1567850000;578
303907;52.4726810000;104.2984290000;912
306245;52.2163340000;104.2061090000;221
134066;52.2607111000;104.2039508000;1051
310435;52.2755770000;104.2538460000;351
50001633;54.3508520000;101.5181970000;270
50001795;54.1146000000;102.1885770000;272
307346;52.4101930000;104.3192970000;223
218462;55.7757330000;109.5605900000;486
216660;52.5823900030;104.4540494750;431
306821;52.2101370000;104.0642290000;243
316881;52.5227797560;103.8468849700;49
307013;53.4219700000;102.6209480000;510
319370;52.2689040000;104.3036390000;191
2018;52.2286860000;104.3037360000;590
208223;52.2217740000;104.3069270000;448
206886;52.2352120000;104.2801930000;250
317053;52.5446260000;103.8965860000;46
317462;52.2803050000;104.3454380000;293
212840;53.9029310000;102.0395610000;510
126389;52.3518890000;104.1490920000;376
308534;52.2857430000;104.2922580000;199
210656;52.5111996730;103.8371072920;337
303632;52.8040970000;104.7503350000;149
204176;52.9017810000;103.6976070000;329
325318;52.2729100000;104.2504410000;0
50007524;52.3542540000;104.1074460000;81
169049;52.2528300000;104.3265730000;714
147068;52.3266830000;104.3173830000;564
211573;52.5326226720;103.8631039310;721
110320;52.7300750000;103.6663260000;629
309507;52.2419620000;104.2826990000;128
50007284;52.2539440000;104.3251450000;68
311083;55.6347810000;109.3368640000;339
306581;52.3405620000;104.1948890000;253
317374;53.3618340000;102.7690470000;74
208312;52.2817480000;104.2887090000;296
213641;52.2324380000;104.2793760000;467
50003132;53.1617760000;103.9314940000;65
968;52.2625149320;104.3098200360;570
151131;52.2508150000;104.2266970000;769
311939;52.2957860000;104.2570980000;83
50004041;52.2782990000;104.3059120000;87
171917;52.2575110000;104.1816100000;819
50005332;53.0539740000;105.5238390000;201
304979;52.3494310000;104.1503330000;179
50003559;52.2422360000;104.2735480000;287
209580;51.5064210000;104.1456520000;604
50001943;52.7992190000;106.4057060000;275
127504;52.7513760000;103.6346270000;779
50006814;52.3564130000;104.2154650000;106
50004047;53.9638810000;105.8777300000;216
211832;52.1671550000;104.1081390000;289
515;52.5453740000;103.8900580000;583
307133;52.8666040000;103.1848320000;140
131034;52.2562250000;104.2476340000;496
50002103;52.2320460000;104.2737450000;245
302590;52.3065290000;104.3246510000;411
216545;52.5408780000;103.8904280000;241
111302;52.4628180000;104.3405810000;828
112384;52.5370200000;103.8943950000;548
50005932;52.2764130000;104.3329540000;136
306794;53.8802780000;103.3399710000;219
307011;51.6460673940;103.7044951930;357
304227;52.7536180000;103.6487310000;302
603;52.2535160000;104.2574930000;487
305504;53.9495240000;102.0666900000;156
308735;52.3289620000;103.6383200000;2
3576;52.5073090000;103.8336860000;520
2318;52.3374513240;104.1981233690;990
216825;52.2829330000;104.2902810000;118
50001638;52.4035830000;104.3644550000;84
50001531;52.3291330000;104.4775630000;298
3488;53.0777368880;103.3417854230;858
214457;52.2489430000;104.3503250000;284
50004142;52.3062040000;104.1486350000;240
50002712;52.2777980000;104.3170920000;319
100394;52.3515340000;104.1445930000;751
312947;52.5164130000;103.8424080000;156
320414;54.1031140000;102.1473770000;126
162492;52.2671620000;104.3236180000;448
50002548;52.4238470000;104.2835530000;214
310480;53.1340320000;103.0909580000;153
155179;52.2470960000;104.2711380000;944
132419;52.2362040000;104.2857130000;512
306731;53.5828590000;103.7227170000;208
148679;54.1166080000;102.1788280000;487
160696;52.2285660000;104.3111050000;352
164212;55.6368490000;109.3393430000;773
3261;52.2880940000;104.3102590000;500
135925;52.2341950000;104.2883850000;581
5978;52.2499440000;104.3310750000;685
50000489;52.4744090000;104.3254860000;573
50006118;54.3921870000;101.2289750000;125
50006745;52.3306560000;104.2574480000;120
163893;52.2302820000;104.0450460000;395
210759;52.2191180000;104.2766400000;342
322153;52.2673355060;104.3112117140;102
142308;52.4405830000;104.3998000000;636
145910;52.2339650000;104.2951770000;330
50000849;52.1789140000;103.9478080000;144
213199;52.2113426210;104.0994765290;958
50001736;54.1040320000;102.1528120000;401
50007115;52.7508160000;103.6416800000;92
310645;52.3455460000;104.1533250000;215
319361;52.2901550000;104.2719560000;119
157447;52.2137520000;104.3065140000;473
50007076;52.2215880000;104.0104020000;147
204244;52.8069490000;104.7537680000;668
213192;52.2998757870;104.2366575920;445
50005052;52.3551460000;104.1585610000;51
50000021;52.3544310000;104.1295820000;251
214144;52.3499700000;104.1761140000;483
50007018;53.8840040000;102.0489850000;127
308527;53.1168520000;103.1430300000;375
320597;52.5068160000;103.8391020000;22
211806;52.3508470000;104.1461740000;464
50008203;53.1650310000;103.7992530000;1
158171;52.2773290000;104.2887230000;265
309617;52.5280240000;103.8992910000;233
50005197;54.1761930000;103.0281930000;115
218439;52.8116640000;104.7367260000;462
151839;52.5967500000;103.8583260000;461
50005162;52.2509110000;104.2460480000;162
210920;52.2770920000;104.3741570000;328
50001649;51.5449960000;104.0597650000;166
161976;52.5925150000;104.4535680000;447
101408;52.2586900000;104.3627710000;648
208388;52.2208750000;104.3185150000;206
320796;52.2853410000;104.1294520000;1
147792;52.5158220000;103.8707750000;534
320617;52.2186520000;104.3115350000;93
305624;52.5121667320;103.8769808180;340
5064;52.2922480000;104.2930570000;411
112503;52.2449740000;104.4094520000;659
309953;52.4663990000;104.3655870000;287
312055;52.2693780000;104.3317650000;185
141078;53.0623140000;105.5084150000;580
50002246;52.2887390000;104.2974050000;156
168936;52.2530400000;104.3809120000;359
133910;52.3569240000;104.1529900000;622
169106;52.5233650000;103.8871000000;496
213611;52.4650330000;104.3546190000;609
203918;53.6989960000;102.7049570000;879
102325;52.2515500000;104.2417510000;504
311218;52.2026130000;104.2305810000;177
2252;52.2503190000;104.3544260000;515
323044;52.3429670000;104.1916280000;10
50001150;57.8498910000;114.2004330000;1229
50003310;52.2156670000;104.0828780000;66
219002;52.2204010000;104.4405510000;422
218153;53.1501990000;103.0637310000;349
303034;52.5573630000;104.2263930000;209
211859;52.5062951990;103.8302810990;513
306487;53.9188690000;102.0415020000;363
203879;53.7071260000;102.7054820000;240
307501;52.2134760000;104.3036210000;199
142044;52.3517130000;104.2109920000;406
50006934;52.3439570000;104.2185510000;125
218406;52.2492570000;104.3579030000;566
104415;52.2876730000;104.2537060000;515
205218;52.7582500000;103.6477700000;426
167188;52.2547100000;104.3161330000;506
306022;52.2610221990;104.2404782960;273
300660;55.9101900000;107.7984180000;659
155470;52.2201270000;104.2481260000;270
50000140;52.2257690000;104.0322670000;118
216256;53.3542530000;102.7830400000;221
310935;52.2524900000;104.3659530000;164
50001849;52.2712740000;104.5851980000;196
305257;52.3221773680;104.3144947600;337
50000482;52.7421760000;103.6587210000;120
310313;52.4251060000;104.2313690000;142
202941;52.2728760000;104.3343380000;478
162101;52.3286920000;104.3720550000;511
50001731;52.2789770000;104.3092090000;254
111306;56.3631970000;114.8303900000;567
114316;52.2534060000;104.2312840000;786
211464;53.5530200000;102.4982140000;692
307502;53.1727610000;104.2467130000;227
50005889;54.4515700000;101.1841580000;168
50005871;53.3577280000;104.1524710000;67
116654;51.6843270000;102.1473980000;711
154914;52.2522165190;104.3699282490;265
101637;52.5260630000;103.8563470000;636
314023;52.5155800000;103.8543920000;184
150464;52.2316430000;104.3144640000;548
50003996;52.8979000000;103.2830450000;154
320740;53.9363700000;102.0534670000;62
212142;54.3526570000;101.5263540000;655
50003031;55.6200470000;109.2882830000;305
212972;52.5077750000;103.8589810000;264
50004251;52.2624290000;104.3317800000;113
164028;52.8776990000;103.4889700000;616
50003861;52.4277020000;104.2973420000;119
306921;52.4331000000;104.1426880000;291
303384;53.1337180000;103.1129940000;241
217564;52.4149850000;104.0529890000;377
212497;57.8466770000;114.1953480000;949
1978;52.2804760000;104.3080140000;680
146039;52.3453540000;104.1880350000;406
210777;52.2651450000;104.2062890000;518
304411;52.2272190000;104.3082120000;202
170556;52.3452150000;104.1743870000;429
162071;52.5111690000;103.8647600000;434
200524;52.2752600000;104.3424110000;458
5185;52.2653680480;104.3319705780;652
50004086;54.0732120000;102.9079270000;67
311466;52.5866290000;104.6298890000;177
50001936;52.3571700000;104.1346840000;469
208007;53.9615670000;105.8829310000;499
320787;52.2221770000;104.3130000000;64
306235;52.5014760000;103.8507360000;132
211899;52.2887341190;104.3425855250;611
50001134;52.0540970000;104.0843510000;148
316463;51.6606446630;103.7144162870;183
50007896;52.5171590000;103.8789310000;37
159307;52.2464016260;104.3493778390;537
209121;51.9143660000;102.4338860000;694
211282;52.2780199470;104.3264569450;493
311481;52.3523833120;104.1375861070;336
2449;52.2087349140;104.0932769010;663
307612;52.2568770000;104.2056510000;306
307763;52.3468820000;104.2113870000;215
2019;52.2558247510;104.3229987540;717
302925;52.3044140000;104.2423470000;210
210847;53.1532170000;103.7749560000;506
173193;52.5170400000;103.9006810000;270
167476;52.2563580000;104.3304900000;362
309902;52.5130450000;103.8522230000;181
320487;52.2842362610;104.2515831880;200
323055;53.7001380000;102.7069740000;45
50003891;53.1471530000;103.0797410000;176
311533;52.2726010000;104.3182550000;292
207101;52.2603990000;104.2416460000;380
306250;52.3344320000;104.2133320000;266
132721;52.2259550000;104.2525250000;581
211316;52.2757040000;104.3912430000;525
50007340;52.2728220000;104.4469650000;301
129969;52.2582800000;104.3564560000;345
311461;52.2759510000;104.3493840000;205
50003995;52.2676470000;104.3391860000;96
159839;52.3513940000;104.1380540000;459
214502;52.8705290000;103.4707930000;185
160414;52.4203060000;104.3013500000;422
5465;51.5207640000;104.1333010000;775
50007638;52.7880020000;104.0020300000;104
171031;52.2286420000;104.3080660000;356
209555;54.8134730000;105.1432710000;655
321986;52.5462970000;103.8937920000;22
304716;52.5244020000;103.8923010000;104
147787;52.5178655700;103.8738938170;498
171393;52.2565130000;104.2353220000;519
203480;54.1740640000;103.0200900000;776
50004838;52.2725460000;104.2554800000;288
50005883;53.6764100000;102.3253690000;274
217707;54.3392900000;101.5103460000;174
50002872;53.6974940000;103.5767450000;82
50005217;52.2517380000;104.3337870000;77
122470;52.7371650000;103.6542360000;489
212623;53.3485210000;102.7876510000;866
50004573;52.5074080000;103.8404950000;118
311518;52.3284170000;104.2088220000;93
152980;52.5491330000;103.8854730000;374
320690;52.2780950000;104.2515730000;67
306021;52.5202336920;103.8657385100;241
5179;52.2325380000;104.2779670000;422
206887;52.2575170000;104.3365120000;171
311320;53.3307360000;103.4310610000;114
315149;52.2809660000;104.2815500000;116
50001613;52.2080470000;104.2845900000;264
303771;52.4898580000;103.7352750000;148
308015;52.2277200000;104.0479420000;165
208491;53.1454140000;103.0824420000;375
50006780;54.1179980000;102.1760830000;138
5917;53.1382331510;103.0887256690;832
211793;52.5452310000;103.8754640000;142
312611;52.5290660000;103.8563140000;136
300606;53.6618710000;102.3079050000;349
50005065;53.7199000000;103.8304790000;71
211076;52.3533241970;104.1628827390;457
50002494;52.7427370000;103.6695270000;219
218516;52.4586570000;104.2188560000;476
50008250;54.1060070000;101.8541400000;0
322036;52.4358968260;104.3898679270;191
213505;52.5301631980;103.8764346270;302
320516;52.7553070000;103.6380230000;61
50000124;52.6562290000;104.5052930000;103
213580;52.2492267190;104.2474568230;363
302681;52.2539990000;104.1365860000;686
203103;52.3549640000;104.1460150000;412
50007190;52.3317800000;104.2633410000;71
170720;52.2537120000;104.2487970000;448
304948;52.5185880000;103.8748100000;182
50001301;52.4223100000;104.0499730000;214
217926;51.7228733370;103.6843590000;251
311983;52.4634470000;104.3451680000;52
306628;52.2738460310;104.3311728630;336
50000367;52.3078500000;104.3295650000;260
203492;52.7473160000;103.6547140000;230
50004159;52.2989400000;104.3040520000;132
216520;53.1413480000;103.0843760000;217
312197;52.4776830000;104.3675130000;216
304269;52.2221220000;104.2973780000;424
148817;52.7568400000;103.6328180000;543
163573;52.2667830000;104.3312200000;405
212708;52.3348319940;104.3321466360;502
301532;52.2060480000;103.9453370000;422
50003899;53.4759560000;102.2140770000;159
50004724;52.2048560000;104.0801920000;137
206836;52.3120640000;104.2905200000;278
50006338;54.3530350000;101.5204340000;63
50004999;52.7554870000;103.6435030000;76
308997;52.4878730000;104.3926710000;269
50003380;52.5456940000;103.8826710000;131
205510;52.7958760000;106.4019920000;616
50006449;52.2793340000;104.2415860000;95
210728;53.5711959800;102.5235005070;427
160652;53.3912230000;103.8740920000;512
105887;54.1096320000;102.1774520000;545
158982;52.5337180000;103.8916950000;532
136222;52.7276280000;103.6602190000;596
163449;53.1148730000;103.1528700000;645
212199;52.2230000000;104.2401440000;259
50007265;52.2559560000;104.3162070000;42
214490;53.0704140000;103.3413280000;897
50001296;54.2416410000;101.6613350000;278
50005339;52.2845980000;104.2373260000;143
50006431;52.2097790000;104.0961010000;56
315550;52.2527530000;104.3213360000;140
307135;52.5299563850;103.8905789930;365
2381;52.5308330000;103.8820560000;711
200257;52.2740700000;104.4560180000;788
2323;52.3533860000;104.1547260000;806
50000282;52.2220670000;104.1056950000;144
304416;52.8116750000;103.5259260000;364
213356;52.7484578290;103.6667474390;429
215526;52.2006990000;104.1040890000;411
304076;54.1332210000;101.9771280000;324
173054;54.0040830000;103.0456540000;802
213342;52.6977440000;103.7091170000;431
323725;52.5381800000;103.8852130000;29
215071;52.3502410000;104.1579360000;470
1110;52.2784683040;104.2560530920;521
306566;52.2854450000;104.3108260000;234
163384;51.8460820000;104.8771740000;450
104383;52.2228900000;104.3133040000;472
306735;52.2835000000;104.3246780000;113
318098;53.5630810000;103.7228240000;85
5220;52.7579020000;103.6385200000;545
307806;52.2141600000;104.0916550000;412
215101;52.3475220000;104.1609270000;705
206004;52.2272310000;104.2945480000;556
50006932;51.5219240000;104.1484640000;121
