office_id,coordinates,,avg_shk
309346,45.0767740000,39.0437110000,237
217698,45.1203890000,38.9168930000,372
319606,45.0737250000,38.9667700000,96
2735,44.9061090000,37.3443670000,968
165687,44.8619650000,38.1606340000,319
325299,44.7119020000,37.7620390000,8
216471,44.7422490000,37.7324400000,297
50005874,44.8629440000,37.3672740000,167
112891,45.1063910000,39.0157340000,529
323014,45.0646303000,39.0599937520,92
162103,44.9179160000,38.9071710000,547
163510,45.0619360000,39.0556950000,318
110623,45.0777260000,39.0030320000,675
164005,45.0998820000,38.9718810000,211
101793,45.0673090000,38.9140470000,446
50004205,44.0422710000,39.1513380000,428
150170,45.0296100000,39.2490030000,810
101224,45.0509210000,38.9956790000,484
50007108,45.0334510000,39.0365960000,103
50004565,45.0507490000,37.3272550000,110
50007125,44.3170120000,38.7036710000,459
50007276,44.8981130000,37.3426880000,104
50006952,45.0672970000,39.0310640000,107
215367,44.8259570000,37.3667450000,431
302080,45.0486670000,39.6492830000,409
206618,45.4269250000,39.1979250000,437
171038,45.0414260000,38.9180720000,403
209048,44.9922390000,39.0721040000,292
218531,45.1114820000,39.0185530000,269
308651,45.1121550000,39.0298110000,177
50006088,45.4567050000,39.6074630000,154
50000495,45.2875730000,39.1520210000,634
139563,45.0333000000,39.0442640000,450
50002914,44.9871250000,39.0709570000,44
111350,44.9558080000,39.6000200000,690
145033,45.0319320000,39.1212870000,221
106109,44.9001960000,37.3807190000,707
308844,45.2541080000,38.0954580000,229
151376,45.1131290000,39.0301760000,440
50005901,45.0138740000,39.0922200000,129
325309,45.2148820000,39.6806880000,16
219048,44.7612690000,38.9764810000,184
210886,44.7379240000,37.6780030000,204
127980,44.8939930000,37.3386540000,558
50003798,44.9329380000,38.9073640000,251
162886,45.0086170000,39.0680640000,532
50000677,44.0935880000,39.0961400000,159
126559,45.0922760000,39.1071970000,361
102778,45.0701830000,39.0273290000,561
132359,44.6920480000,37.7914940000,781
50002411,44.7398310000,37.7261340000,297
155690,44.9803660000,37.3489820000,548
311345,44.2017880000,38.8873950000,871
139652,45.0796130000,38.8973500000,725
311711,45.0476860000,38.9680550000,130
210257,45.2476920000,38.9957950000,174
208912,44.6794586690,37.7926345770,274
321694,45.0728250050,38.9070643740,88
326074,44.7656140000,39.8685980000,20
996,45.0553830000,39.0183980000,460
135247,45.0738580000,38.9807360000,588
149278,44.8653750000,37.3641670000,503
128835,44.9881120000,37.2626020000,560
5440,44.6092890000,40.1383860000,596
301277,45.1432610000,39.5834460000,475
145434,44.6333990000,39.1391750000,684
302782,44.6076945560,39.7144993740,311
208293,45.3680900000,38.2136710000,280
311572,45.0773990000,39.0378680000,165
308915,44.9274640000,38.0089930000,420
323271,44.8674960000,37.3334710000,155
202837,45.0214560000,39.2070420000,407
50001695,44.6616670000,37.7491040000,334
217837,45.0931190000,38.9113690000,545
159686,45.0239080000,38.9370770000,458
50000577,44.1718410000,39.0013820000,332
5724,45.1108550000,38.9357040000,436
325414,45.0272910000,39.0981400000,46
130492,44.3220160000,38.6953530000,1466
315471,45.3158920000,38.6662030000,158
310086,45.1491140000,38.9988470000,402
214718,45.0968520000,38.9083710000,733
50001103,44.9033930000,37.3591630000,114
157942,44.9894910000,39.0721330000,344
161826,44.6160830000,40.0696800000,510
50007861,45.0457440000,39.0097100000,12
124885,45.0119610000,39.0693410000,619
50003019,45.0135680000,39.0398300000,227
109175,45.1434770000,39.5939970000,758
162225,44.9317030000,37.9789000000,280
209470,45.2762600000,38.8396230000,546
302397,45.3643000000,39.7769880000,234
325114,44.6304680000,39.1118480000,8
215000,44.6366640000,39.1435670000,314
215294,45.2982870000,37.0045200000,404
165245,44.6107040000,40.0714200000,290
312535,45.0751580000,38.9764270000,330
207251,44.6092890000,40.0930660000,498
324938,44.3706020000,38.5327040000,3
311498,44.8357630000,37.5480520000,324
50002618,45.0621590000,39.0049220000,103
213607,45.0423050000,38.9754570000,187
50003671,44.9055820000,37.9883790000,85
214065,45.0935050000,38.9025940000,749
208899,45.2900150000,39.2620370000,359
150260,44.7159100000,37.6489900000,865
147442,45.2704068220,37.3823005420,328
162684,45.1015050000,38.9475750000,406
210955,44.9342650000,37.9859800000,319
323111,45.2515100000,37.4150460000,42
137023,45.0357270000,39.0153770000,454
137230,44.3705890000,38.5405730000,635
136188,45.0379260000,38.9484680000,589
50004284,45.4553130000,38.7015510000,166
313125,45.0364260000,38.9233540000,240
144158,45.1141910000,39.0488350000,695
2881,44.5756860000,40.1312700000,780
150368,45.0322360000,39.1272360000,583
2221,44.6758390000,37.7857970000,708
312276,45.0686330000,38.9509780000,233
308376,44.9426490000,37.9378220000,174
163112,45.0786770000,38.8979770000,529
101756,45.0706900000,39.0120020000,580
214698,45.3429880000,38.0270370000,487
209125,45.0954140000,39.0221690000,388
318225,45.0352329660,38.7662680330,151
203076,45.1505840000,39.0069610000,411
159995,44.5484040000,38.0768360000,707
323081,44.9679655160,37.2934646590,550
304156,45.0479720000,38.7849420000,483
206097,45.0906470000,39.0047790000,418
204648,45.0406660000,38.9351590000,198
207874,44.7074310000,39.2294730000,374
320101,45.3676300000,39.6963730000,18
308738,45.0613510000,38.9653100000,169
171205,43.9147280000,39.3497190000,877
308618,44.7683510000,39.8622590000,127
309108,44.6086020000,40.0785340000,257
216461,44.4196940000,38.3597160000,636
50006913,45.1086260000,38.9558760000,90
313941,44.7523789220,37.6989278060,250
50003844,45.0355980000,38.7861280000,99
211031,45.1199750000,39.4146790000,339
213557,45.1870220000,39.6618570000,495
306038,44.7616080000,37.7205910000,64
308137,44.1251480000,39.0742180000,235
50002800,44.8514010000,38.6806560000,222
218320,45.0649030000,39.0409470000,382
5083,44.5788182670,38.0744703980,715
307325,45.0622030000,39.0106580000,301
162912,45.1205290000,39.0087840000,318
113282,45.3762550000,39.7125730000,169
161014,44.5900920000,38.0495180000,416
141910,45.1418890000,38.9987280000,448
314947,45.0521724610,39.0422991810,180
129183,44.9070890000,37.5670880000,940
206380,45.0380360000,38.9798850000,414
314566,44.5934040000,40.1215270000,140
50007996,45.0069050000,39.1051700000,34
207848,45.0336510000,38.7824230000,430
309455,44.5547440000,38.0967520000,355
317149,44.1078788880,39.0908757460,272
103125,45.0032330000,39.0846690000,502
315869,45.0242780000,39.0491550000,301
157827,45.0499250000,39.0341710000,478
101321,44.6917890000,37.7630720000,544
211813,45.0226790000,37.5252080000,588
202502,44.6625377510,37.7581033590,254
322777,45.0623084680,38.9604999020,65
304109,44.8870530000,39.2635370000,98
149593,45.1933350000,37.0005020000,471
318930,45.1147648650,39.1537679280,351
50007876,45.0724330000,39.0493790000,29
112685,45.0952890000,39.0166380000,443
158526,45.0586510000,39.0358050000,327
156067,44.8485610000,38.6753450000,280
205513,44.2996390000,38.7592500000,1069
159518,44.5528100000,38.0981350000,432
213456,44.8505611380,37.3601278440,240
156554,44.8934130000,37.3135820000,717
307996,45.1427140000,38.9977980000,161
203190,45.0619490000,38.9489120000,288
305044,45.0950380000,39.0488580000,100
203921,44.4437115300,39.7191700050,452
50006249,44.6787120000,40.0097680000,97
209176,45.0978700000,39.0046880000,353
159387,45.0610140000,39.0343100000,298
303272,45.4378820000,37.7581910000,395
303436,45.2564040000,38.1135860000,373
149055,44.5995640000,38.0333080000,596
306906,45.4785680000,39.4401190000,264
