office_id,dst_lat,dst_long,shk_cnt 
215999,45.854718,39.654529,340
110572,45.707003,39.608417,549
165969,45.704252,39.600720,419
308406,45.703567,39.598977,83
303752,45.693892,39.457079,256
218038,45.792955,39.362568,321
50001314,45.783427,39.003655,413
50002179,45.789995,38.999594,260
306137,45.799860,38.994806,340
102972,45.799557,38.999412,923
50006495,45.802336,39.000473,126
209497,45.804466,39.003254,411
141685,45.803724,39.004699,359
209587,45.809159,39.008547,378
50007500,45.811735,38.997816,150
308389,45.846306,39.020301,272
106910,45.837521,39.021855,534
306408,45.879676,39.221209,78
50006122,45.931470,38.873732,148
162748,46.676614,38.276098,453
50005286,46.676106,38.273830,265
314436,46.685170,38.269453,80
212938,46.693373,38.270136,469
173195,46.689566,38.261769,164
108677,46.699136,38.262274,376
163289,46.701207,38.259680,348
309222,46.701478,38.253505,150
312724,46.704159,38.256819,380
162533,46.704612,38.252001,595
310248,46.706074,38.265895,230
321683,46.708239,38.269586,131
208616,46.711758,38.265323,415
4152,46.715183,38.270667,711
325521,46.716986,38.274780,124
316827,46.715298,38.280801,109
213307,46.712080,38.281408,450
161361,46.709114,38.275939,396
160669,46.707232,38.277632,384
5190,46.704403,38.281167,562
50007066,46.701649,38.278858,77
210863,46.703542,38.284976,235
314944,46.698275,38.286817,142
103554,46.147056,39.805642,604
2164,46.133665,39.782629,721
302830,46.131635,39.788608,86
129116,46.133992,39.791221,378
300506,46.132066,39.808590,396
322433,46.213521,39.929432,90
303363,46.169345,40.102618,280
305515,46.163752,40.279227,197
170929,45.999621,39.997281,469
308325,45.999789,39.988723,166
303323,45.867371,39.952150,341
316455,45.864283,39.948979,207
303962,45.745138,39.934049,270
310816,45.703202,39.851575,452
50001929,45.697606,39.957800,127
160510,45.637319,39.895978,472
50005171,45.629429,39.920619,308
215713,46.576325,39.354010,449
304122,46.594744,39.193469,305
139483,46.553368,39.047888,449
50005848,46.551267,39.041923,101
101949,46.537486,39.056961,588
302343,46.536646,39.057671,213
162221,46.532223,39.061027,154
50007378,46.531996,39.069825,37
138402,46.527054,39.075897,480
301398,46.515385,39.065940,324
304082,46.522107,39.061291,167
2311,46.522690,39.059519,502
50008280,46.519486,39.039402,101
207478,46.534272,39.039127,522
304282,46.788206,39.000619,257
50000162,46.656125,38.899298,123
210648,46.622254,38.679096,350
206954,46.632108,38.670973,345
3481,46.633701,38.669400,460
133040,46.632279,38.659649,494
212109,46.622536,38.660849,229
303046,46.701390,38.616535,209
323653,46.695629,38.750456,127
304459,46.853792,38.472337,266
326975,46.540291,39.061048,70
307661,45.738696,39.642720,150
214619,45.627579,39.476381,216
215835,45.581534,39.554717,241
105650,45.585736,39.640470,523
212914,45.586908,39.649346,357
212718,45.593682,39.655068,329
216568,45.588264,39.658302,165
128712,45.580811,39.651908,180
154604,45.578755,39.651147,135
314478,45.579004,39.657449,83
2172,45.581578,39.661141,548
50002276,45.573945,39.661363,89
50006587,45.567636,39.653038,112
208338,45.567058,39.660313,370
112536,45.567298,39.670779,685
50002231,45.574728,39.670946,172
50002990,45.585785,39.673223,156
143388,45.586000,39.682000,396
215788,45.485910,39.714185,227
304433,45.470064,39.884395,224
130014,46.507420,41.334014,268
125042,46.507719,41.341212,800
50006138,46.503418,41.348162,76
50005649,46.507384,41.350917,212
213033,46.272234,41.750407,527
218115,46.391950,41.868023,280
301976,46.338910,42.277781,1245
50006628,46.087155,42.919609,155
307808,45.978118,42.696009,318
50007413,45.903531,42.548910,130
315670,45.799308,42.666464,196
50002520,45.822212,42.524629,144
306589,45.865839,42.308539,103
50002953,46.053998,42.226325,148
310932,45.800941,41.892565,201
303225,45.901042,42.131984,245
312104,46.083899,41.937885,343
134616,46.083275,41.926404,624
303125,46.070422,41.910903,184
314579,46.220143,41.984957,219
50008859,46.083086,41.941658,76
50008214,46.339116,42.280071,42
218545,45.852144,40.410039,408
301253,45.929640,40.583809,296
112764,46.000483,40.450264,749
156746,45.967545,40.658459,516
218731,45.720148,40.717134,295
306535,45.651522,40.754858,179
302829,45.766585,41.070048,373
213263,45.952692,40.692398,281
50005361,45.951788,40.701022,98
320045,45.948260,40.707966,160
143296,45.952318,40.713457,628
5170,45.955983,40.706744,851
308337,45.957609,40.698740,156
217232,45.978106,40.978635,369
325617,46.068213,40.876795,63
319780,46.072124,40.864181,156
215633,46.072412,40.871845,407
50006116,46.079654,40.874307,92
5539,46.081880,40.873652,651
134822,46.082707,40.865122,667
301872,46.090838,40.845018,274
302828,46.197004,40.852503,182
309649,46.475589,38.650830,370
304332,46.636784,38.495667,187
216422,46.647095,38.401589,414
210125,46.660504,38.340257,410
209844,46.657751,38.332267,349
3505,46.673025,38.300978,443
208184,46.674435,38.308103,207
160048,46.676892,38.297795,346
151133,46.678386,38.297098,572
157731,46.686376,38.291336,301
153020,46.689373,38.288927,269
308826,46.690938,38.288075,278
109575,46.692246,38.286993,514
4054,46.680107,38.293763,876
156354,46.677974,38.282047,96
317230,46.685220,38.276127,75
50006278,46.676181,38.283637,139
143100,46.677230,38.286873,484
214662,46.674164,38.286936,346
50000717,46.673825,38.292971,263
312460,46.665446,38.277304,335
50008562,46.649241,38.435327,10
318927,45.910166,40.151498,104
215826,45.916700,40.150839,328
4052,45.916894,40.155126,705
316648,45.869887,40.130879,132
306099,45.866662,40.137847,222
215761,45.866685,40.143462,521
107879,45.865834,40.145997,519
307350,45.863825,40.144497,183
304383,45.859020,40.142692,301
112797,45.853826,40.138941,598
50000461,45.846136,40.138173,243
305799,45.838320,40.146330,400
211617,45.837667,40.147974,492
302574,45.769391,40.149196,314
107897,45.850517,40.153761,505
218872,45.448314,40.849217,350
217341,45.442579,41.036893,429
50000423,45.563945,40.908155,162
209632,45.574713,41.036649,447
323374,45.652882,41.200036,133
323295,45.497284,41.200153,143
3557,45.492659,41.195790,728
310719,45.488634,41.200009,168
140666,45.489082,41.206752,341
113418,45.490976,41.214784,780
206877,45.494133,41.223700,641
217592,45.489760,41.217149,392
314733,45.505685,41.228872,368
50007345,45.486416,41.230311,128
305237,45.414121,41.359002,203
112257,45.296056,41.057402,732
50007247,45.329302,41.297754,199
301817,45.707935,40.282056,248
310124,45.687018,40.284778,114
102963,45.673560,40.280038,664
302315,45.671010,40.275434,231
301199,45.616526,40.116362,191
209489,45.547896,40.148603,320
303700,45.523091,40.234859,243
305638,45.464695,40.124007,144
50005593,45.368543,40.166335,4
314333,45.361577,40.166865,304
5685,45.361195,40.181686,857
212474,45.363709,40.192703,262
151046,45.359071,40.196527,363
141785,45.358142,40.200414,295
140247,45.364326,40.207190,351
300688,45.370803,40.224789,342
201064,45.360583,40.220549,633
317044,45.344336,40.205071,157
303300,45.264950,40.197058,267
305985,45.322864,40.230250,155
303337,45.326102,40.252744,303
309360,45.361638,40.380763,152
50004416,45.355127,40.417198,230
50009450,45.257895,40.367172,68
139855,45.363363,40.667487,591
111972,45.354397,40.672989,628
50000220,45.353171,40.696668,364
211668,45.360407,40.686065,369
163239,45.358392,40.697976,453
3397,45.364775,40.689180,612
126086,45.362843,40.703306,595
50003795,45.365231,40.708172,283
148682,45.368115,40.709574,534
311291,45.370578,40.716655,267
309448,45.369708,40.704490,130
303541,45.389200,40.769842,251
216388,45.379015,40.832598,398
305491,45.304711,40.944007,211
300438,45.239652,40.835248,308
50004283,45.184467,40.773731,102
304422,45.256411,40.673875,271
308265,45.176113,40.587331,119
309167,45.198824,40.421706,82
305274,45.244476,40.548117,128
317222,45.309673,40.686766,158
313262,46.223733,39.156686,314
212855,46.114370,38.977765,391
3801,46.125584,38.970477,292
50002083,46.127557,38.970175,183
305903,46.125377,38.973445,273
300822,46.146304,38.947923,306
50000686,46.183960,38.797375,54
307449,46.143638,38.689990,124
309524,46.142988,38.696647,381
211456,46.098986,38.944456,428
141624,46.089565,38.954938,706
50002884,46.077516,38.947537,49
135780,46.079810,38.961607,267
217147,46.084308,38.962545,109
215386,46.086186,38.963003,179
5462,46.089000,38.966986,377
208347,46.089797,38.971253,162
153359,46.086621,38.971171,509
50008033,46.078860,38.966626,69
314929,46.084710,38.975631,106
50002005,46.081665,38.990149,164
316501,46.077435,39.001580,225
110943,46.038676,38.597510,587
309319,46.008886,38.345037,243
