office_id,coordinates,,avg_shk
50005614,54.323198,36.178831,156
151384,54.262067,36.155329,883
2548,54.039788,35.755188,870
211155,54.040792,35.768417,484
322594,54.043288,35.770025,359
212064,54.034858,35.777404,411
212682,53.723793,35.531755,462
173011,54.464955,36.218638,444
327260,54.507798,36.262185,242
102630,54.510293,36.265636,822
120313,54.510093,36.276621,423
150927,54.519486,36.295334,748
132363,54.521674,36.303323,792
122151,54.520381,36.309306,371
130917,54.527995,36.309819,397
50008537,54.527396,36.311503,168
103153,54.525760,36.312563,625
157871,54.519080,36.272201,443
210704,54.468717,36.237610,876
50006277,54.486773,36.244147,186
161650,54.493504,36.220782,485
117220,54.493356,36.214248,1108
142337,54.491652,36.210018,436
127427,54.494317,36.204683,538
139278,54.495068,36.206931,444
324985,54.487751,36.192638,226
111471,54.483828,36.192669,912
164115,54.486222,36.198044,495
50004021,54.552279,36.284841,217
136057,54.552742,36.295398,654
169280,54.553780,36.293526,505
309033,54.554859,36.289018,384
165063,54.569682,36.308357,511
102633,54.575473,36.312331,806
167406,54.567698,36.313366,307
303523,54.564335,36.267602,690
116040,54.565072,36.271370,673
50005795,54.566258,36.259325,310
318709,54.818490,36.319256,264
210498,54.808459,36.313389,668
105619,54.807983,36.310471,537
50011143,54.570870,36.314449,0
50011144,54.569518,36.269803,0
50011146,54.546943,36.294165,0
152328,54.500721,36.183823,851
206354,54.503098,36.188110,778
111697,54.501180,36.176873,1059
205313,54.497595,36.181210,1020
50003436,54.495151,36.183493,930
120311,54.528444,36.256140,601
50007922,54.528326,36.261035,76
157263,54.530579,36.258927,478
320670,54.532933,36.255612,332
105541,54.532587,36.262799,717
125765,54.533947,36.263962,209
141524,54.533023,36.268447,320
143452,54.531883,36.267263,294
171185,54.530003,36.263973,576
309514,54.535002,36.270378,230
1984,54.533089,36.272351,498
50001199,54.531290,36.275132,178
172594,54.526345,36.266963,563
150179,54.534011,36.167354,723
315347,54.538340,36.159337,150
162899,54.528347,36.107459,502
50006361,54.472523,36.042006,283
129161,54.480048,36.061292,417
171977,54.480239,36.061725,196
170520,54.476144,36.058546,294
2545,54.469411,36.043522,818
203241,54.504097,36.068589,294
215659,54.528995,36.018311,493
216820,54.539385,36.129422,297
124793,54.392234,35.739348,650
319745,54.389805,35.736879,100
206294,54.433250,35.658104,93
314028,54.249749,35.545125,146
50000241,54.318336,35.283606,216
145930,54.322274,35.276599,416
209962,54.119854,35.331858,266
207110,54.102253,35.337756,148
120924,54.101968,35.339356,389
310089,54.096989,35.369592,213
50009891,54.098737,35.339705,107
2878,54.090309,35.344152,1019
311108,54.049119,35.231925,179
310399,53.934589,35.106333,260
50003808,53.928376,35.110249,178
314900,53.924786,35.112126,347
50008316,54.506793,36.254740,142
123431,54.502242,36.260871,697
103412,54.498707,36.268027,266
215673,54.504358,36.263425,237
102629,54.505653,36.272074,658
205617,54.507490,36.275308,251
1596,54.506256,36.277178,803
141563,54.507876,36.278225,286
50001745,54.499517,36.275507,187
161390,54.501936,36.282076,481
50007935,54.506412,36.288560,168
110173,54.505787,36.294639,753
50008231,54.479686,36.302906,258
50001486,54.580613,36.255637,417
1293,54.578279,36.252982,1072
215351,54.580724,36.250856,677
137569,54.583178,36.249175,848
150863,54.591381,36.254406,614
5648,54.598343,36.265183,1142
150867,54.600692,36.265293,612
50011429,54.602888,36.268204,12
170186,54.604289,36.268438,747
126540,54.565495,36.221767,447
5061,54.568027,36.224580,1367
50006585,54.567103,36.236854,397
203495,54.566251,36.231300,628
200369,54.558534,36.125993,414
312780,54.610449,36.018284,311
141598,54.608408,36.043650,523
212828,54.614188,36.043345,121
315451,54.688862,36.053031,292
157974,54.692989,36.023063,478
208082,54.163090,36.493340,367
101358,54.124053,36.494425,800
304605,54.123552,36.509217,346
114957,54.117410,36.510376,811
207108,54.118600,36.502907,414
133634,54.118245,36.497421,391
208458,54.117756,36.389782,374
123220,53.815887,36.141072,527
208249,53.815660,36.136628,435
209490,53.814665,36.130146,322
3525,53.809325,36.129470,662
208598,53.808624,36.132259,194
120746,54.510920,36.259799,371
150015,54.515337,36.262264,433
50006589,54.515481,36.271618,198
151370,54.517054,36.266518,278
120661,54.521282,36.269353,534
50000541,54.524820,36.272430,360
142814,54.520330,36.259046,286
150528,54.519370,36.253552,465
136573,54.512173,36.269695,343
140019,54.509742,36.271663,585
162951,54.513579,36.277493,334
163503,54.517099,36.276872,284
121748,54.514395,36.281418,394
139749,54.513756,36.273146,384
160788,54.050763,35.948844,367
50007104,54.053945,35.954620,169
3529,54.055202,35.957240,538
208947,54.059880,35.964825,420
218067,54.024801,35.822029,252
137257,54.035462,35.794765,443
138108,54.032284,35.793067,403
311106,53.962488,35.830464,195
50011167,54.061571,35.961672,0
50011169,54.030021,35.794837,0
207551,54.508916,36.286009,216
50008396,54.508796,36.292072,139
207613,54.510193,36.297764,447
123053,54.515293,36.331580,280
216822,54.514457,36.341423,243
217730,54.515741,36.344129,234
50005012,54.514771,36.351118,327
50011813,54.515345,36.358691,13
133792,54.513868,36.356827,417
102632,54.514002,36.358285,827
50007151,54.515300,36.761555,446
307399,54.514629,36.748479,245
