office,route,time,lat,lng
324377,1,239.200000,55.588389,37.226661
324379,1,1139.200000,55.588389,37.226661
324381,1,2039.200000,55.588389,37.226661
324380,1,2939.200000,55.588389,37.226661
301761,1,4519.500000,55.610351,37.199622
207572,1,5632.600000,55.600608,37.174110
303476,1,7511.600000,55.588496,37.164309
50002933,1,8488.100000,55.588974,37.166097
321314,1,9455.800000,55.589229,37.167400
138886,1,10745.200000,55.602752,37.166876
50005918,1,12248.700000,55.586944,37.124909
123791,1,13193.600000,55.585300,37.125716
305665,1,14192.300000,55.586832,37.123607
208404,2,637.400000,55.613555,37.304878
215767,2,1572.200000,55.612234,37.306048
111617,2,2547.400000,55.608946,37.298847
211775,2,3602.800000,55.612090,37.287019
126473,2,4740.500000,55.620897,37.264423
212962,2,5690.300000,55.620270,37.267014
126732,2,6700.400000,55.615549,37.263180
203833,2,7711.400000,55.611689,37.255291
320671,2,8662.300000,55.612665,37.252156
113249,2,9631.200000,55.614501,37.254940
142988,3,506.400000,55.625496,37.303830
213665,3,1489.600000,55.623790,37.302410
561,3,2483.700000,55.622254,37.302690
210697,3,3496.700000,55.621223,37.306176
111429,3,4472.700000,55.622292,37.306727
210871,3,5471.500000,55.623600,37.309172
204146,3,6392.200000,55.624266,37.308581
139385,3,7326.400000,55.624972,37.306540
306190,3,8344.700000,55.626213,37.311301
5090,3,9363.000000,55.623102,37.312230
2791,3,10361.800000,55.626600,37.313500
311586,4,534.500000,55.559878,37.237118
210516,4,1781.100000,55.573571,37.266897
304203,4,3050.600000,55.567494,37.286220
312900,4,3986.800000,55.568349,37.284378
307430,4,4923.100000,55.569713,37.283114
306676,4,5946.800000,55.569402,37.286490
200518,4,7139.500000,55.557067,37.329194
200041,4,8320.600000,55.556903,37.314441
50005995,4,9291.700000,55.557596,37.310551
206013,4,10728.400000,55.548572,37.310861
123106,4,11863.000000,55.548429,37.324753
128333,4,12828.800000,55.548600,37.329793
150932,4,14356.500000,55.600643,37.356657
131307,4,15357.600000,55.604485,37.356843
50003531,4,16322.800000,55.605824,37.360000
206597,5,663.200000,55.636999,37.330464
321525,5,1651.300000,55.636867,37.326061
122999,5,2568.100000,55.637316,37.325866
321546,5,3515.300000,55.636870,37.323455
145795,5,4524.500000,55.637894,37.322016
113815,5,5566.900000,55.638725,37.308097
309777,5,6530.500000,55.640335,37.309199
50005797,5,7556.600000,55.637718,37.315038
159727,5,8585.900000,55.635435,37.321580
110614,5,9547.200000,55.634921,37.320124
107866,6,779.000000,55.625921,37.344201
323169,6,1840.500000,55.629487,37.340294
323168,6,2740.500000,55.629487,37.340294
145933,6,3896.500000,55.638567,37.330803
147201,6,4911.500000,55.642579,37.326947
308169,6,6030.300000,55.640624,37.343011
204917,6,6989.500000,55.641971,37.347308
105790,6,8017.300000,55.636567,37.348629
210657,6,8959.700000,55.635858,37.347404
1931,6,9921.800000,55.634697,37.343239
318897,7,783.200000,55.536931,37.160049
159458,7,1774.500000,55.536242,37.153143
131804,7,2755.700000,55.540730,37.155596
50005828,7,3837.200000,55.545416,37.154751
143517,7,4879.000000,55.542182,37.153763
323869,7,6156.400000,55.536639,37.183399
171207,7,7684.900000,55.525110,37.264981
308002,7,8981.300000,55.525155,37.221087
144233,7,9914.500000,55.521873,37.220239
149818,7,10841.400000,55.521537,37.220358
5630,7,11850.400000,55.520778,37.216872
209221,7,12938.500000,55.514830,37.226203
320527,7,14104.500000,55.506174,37.272772
138471,7,15205.700000,55.510583,37.247727
214507,7,17005.400000,55.542121,37.079787
209886,7,17977.900000,55.543644,37.080964
306104,8,774.600000,55.640797,37.365137
113482,8,1690.800000,55.641234,37.364402
162470,8,2791.900000,55.639956,37.354028
164067,8,3819.300000,55.643679,37.348064
161839,8,4858.800000,55.646838,37.344664
107992,8,5949.100000,55.651659,37.343510
1926,8,7036.200000,55.645406,37.342504
173127,8,8015.700000,55.645812,37.339409
128896,8,9007.300000,55.643464,37.337524
109169,8,10045.300000,55.638437,37.337836
139275,9,972.700000,55.655791,37.263789
215291,9,2373.900000,55.670965,37.282366
218121,9,3339.000000,55.671910,37.284693
206471,9,4382.800000,55.668620,37.290648
157690,9,5409.600000,55.664588,37.284459
204083,9,6359.400000,55.664822,37.282779
203356,9,7373.000000,55.662311,37.285252
105281,9,8445.900000,55.654629,37.272440
50002565,9,9436.600000,55.656303,37.277038
206184,10,896.100000,55.602012,37.354285
145384,10,1903.400000,55.598480,37.352066
146294,10,2892.300000,55.598973,37.358689
157438,10,3948.100000,55.599873,37.366083
205368,10,4996.900000,55.603061,37.368934
215607,10,5965.200000,55.603917,37.370643
140921,10,7038.300000,55.605045,37.362549
203346,11,712.200000,55.639095,37.357474
310431,11,1681.700000,55.641191,37.358926
172014,11,2851.500000,55.644704,37.385870
305263,11,3815.200000,55.646223,37.385978
166697,11,4824.800000,55.643555,37.385957
104989,11,5793.900000,55.644280,37.388464
145680,11,6789.200000,55.643010,37.389469
206800,11,7830.800000,55.642977,37.393074
168186,11,8829.300000,55.640322,37.396942
208839,11,9753.400000,55.639664,37.397916
307804,11,10996.700000,55.636148,37.358422
139592,12,849.100000,55.598107,37.346770
160666,12,1923.400000,55.596330,37.342481
2999,12,2993.000000,55.595447,37.342481
102134,12,4295.800000,55.593090,37.366879
164246,12,5277.900000,55.590796,37.366942
208679,12,6281.000000,55.590994,37.369018
106464,12,7355.500000,55.589851,37.373104
213523,12,8290.200000,55.590830,37.372435
50005306,12,9351.800000,55.590129,37.376060
320554,12,10305.700000,55.590038,37.374461
159461,12,11345.900000,55.590460,37.378574
