office,route,time,lat,lng
50001931,1,854.300000,45.046788,39.015495
215578,1,1821.200000,45.051948,39.018045
141272,1,2768.000000,45.052054,39.019540
314956,1,3815.800000,45.050730,39.023058
127171,1,4860.600000,45.051171,39.029282
215971,1,5844.600000,45.049864,39.031206
304381,1,6821.400000,45.048221,39.031664
144597,1,7830.000000,45.046210,39.031068
159616,1,8821.300000,45.047769,39.029086
102332,1,9753.100000,45.048555,39.028855
50006544,1,10729.400000,45.047491,39.027671
110564,1,11858.300000,45.039474,39.019091
308981,1,12790.700000,45.038553,39.019816
317467,1,13745.500000,45.041311,39.024235
209621,2,820.300000,45.033623,39.030380
308819,2,1795.400000,45.031221,39.031660
50007108,2,2812.500000,45.033451,39.036596
6071,2,3769.500000,45.029421,39.038196
5927,2,4773.100000,45.026999,39.029601
165829,2,5883.500000,45.025502,39.014053
302715,2,7009.600000,45.025783,39.018082
163299,2,7975.400000,45.025099,39.019223
309713,2,8952.700000,45.025514,39.019941
151474,2,9967.300000,45.025832,39.019776
50008202,2,11024.400000,45.027196,39.025825
306764,2,11990.500000,45.021658,39.024323
150856,2,12925.600000,45.020985,39.022243
169926,2,13907.700000,45.021325,39.011786
137023,2,15126.400000,45.035727,39.015377
50007243,3,976.600000,45.047750,39.034368
208335,3,1976.900000,45.051831,39.033183
157827,3,2953.600000,45.049925,39.034171
140119,3,3954.200000,45.052928,39.033698
217423,3,4927.200000,45.053675,39.031589
309655,3,5928.700000,45.051914,39.029607
140527,3,6877.100000,45.052899,39.030417
50003801,3,7796.800000,45.052913,39.029855
141797,3,8727.600000,45.054141,39.029977
202530,3,9707.200000,45.054714,39.032113
218396,3,10702.400000,45.055327,39.036039
50007483,3,11673.800000,45.056840,39.034055
2454,3,12616.100000,45.056276,39.032635
141500,3,13623.500000,45.057876,39.030129
141696,4,960.500000,45.021968,39.017663
322743,4,1986.700000,45.022692,39.013060
308356,4,2995.800000,45.019430,39.012234
158835,4,4126.300000,45.018621,39.028484
50005059,4,5139.600000,45.016565,39.032674
6007,4,6139.000000,45.013749,39.025859
321461,4,7138.500000,45.012288,39.036178
325824,4,8072.200000,45.011677,39.037856
139490,4,9013.400000,45.010514,39.040809
213810,4,10193.100000,45.028285,39.042970
139563,4,11223.100000,45.033300,39.044264
213591,4,12276.900000,45.028591,39.051919
315869,4,13292.000000,45.024278,39.049155
310234,5,920.400000,45.032700,39.043307
305933,5,1939.800000,45.033613,39.043160
