office,route,time,lat,lng
142337,1,199.600000,54.491652,36.210018
141832,1,1230.800000,54.489965,36.201488
205313,1,2330.700000,54.497595,36.181210
324985,1,3376.400000,54.487751,36.192638
2061,1,4360.900000,54.488849,36.188565
111471,1,5393.700000,54.483828,36.192669
164115,1,6400.400000,54.486222,36.198044
162024,1,7371.600000,54.488085,36.198441
139278,2,311.400000,54.495068,36.206931
127427,2,1285.300000,54.494317,36.204683
111697,2,2464.500000,54.501180,36.176873
206354,2,3461.700000,54.503098,36.188110
152328,2,4487.900000,54.500721,36.183823
50003436,2,5493.300000,54.495151,36.183493
124882,2,6622.700000,54.494854,36.159535
204818,2,7731.400000,54.489369,36.181865
117220,3,265.200000,54.493356,36.214248
161650,3,1298.800000,54.493504,36.220782
163421,3,2539.800000,54.510819,36.238820
120747,3,3554.900000,54.511954,36.245336
120746,3,4582.500000,54.510920,36.259799
327260,3,5529.900000,54.507798,36.262185
123431,3,6504.700000,54.502242,36.260871
103412,3,7477.400000,54.498707,36.268027
50001745,3,8457.800000,54.499517,36.275507
50008231,3,9719.100000,54.479686,36.302906
210704,4,312.400000,54.468717,36.237610
50006277,4,1404.100000,54.486773,36.244147
140942,4,2839.300000,54.517016,36.246251
150015,4,3889.300000,54.515337,36.262264
151370,4,4866.000000,54.517054,36.266518
163503,4,5898.100000,54.517099,36.276872
121748,4,6877.900000,54.514395,36.281418
103033,4,7881.300000,54.518839,36.288679
207981,4,8875.900000,54.516903,36.286098
162951,4,9908.900000,54.513579,36.277493
136573,5,605.300000,54.512173,36.269695
140019,5,1577.700000,54.509742,36.271663
1034,5,2753.400000,54.531628,36.298819
50011146,5,3866.200000,54.546943,36.294165
50004021,5,4913.300000,54.552279,36.284841
309033,5,5887.400000,54.554859,36.289018
315437,5,7116.000000,54.530109,36.302031
208888,5,8081.800000,54.529755,36.307941
3574,5,9025.200000,54.531377,36.308601
50000541,5,10181.000000,54.524820,36.272430
50001199,5,11204.600000,54.531290,36.275132
309514,5,12267.600000,54.535002,36.270378
1984,5,13260.100000,54.533089,36.272351
150528,5,14391.500000,54.519370,36.253552
3749,6,596.400000,54.514738,36.267878
139749,6,1580.900000,54.513756,36.273146
50006589,6,2536.400000,54.515481,36.271618
138409,6,3605.700000,54.510292,36.284643
122156,6,4582.700000,54.508530,36.281993
205617,6,5583.000000,54.507490,36.275308
141563,6,6558.100000,54.507876,36.278225
161390,6,7594.400000,54.501936,36.282076
1596,6,8607.000000,54.506256,36.277178
102629,6,9588.300000,54.505653,36.272074
215673,6,10607.200000,54.504358,36.263425
151344,7,476.700000,54.516342,36.235696
138903,7,1472.700000,54.518579,36.241998
30,7,2523.400000,54.522273,36.252652
120311,7,3523.600000,54.528444,36.256140
50007922,7,4517.000000,54.528326,36.261035
171185,7,5457.800000,54.530003,36.263973
105541,7,6426.500000,54.532587,36.262799
143452,7,7426.000000,54.531883,36.267263
172594,7,8469.900000,54.526345,36.266963
142814,7,9516.400000,54.520330,36.259046
151511,7,10447.300000,54.519171,36.260353
157871,8,640.000000,54.519080,36.272201
150927,8,1805.700000,54.519486,36.295334
103153,8,2950.700000,54.525760,36.312563
50008537,8,3960.900000,54.527396,36.311503
130917,8,4950.900000,54.527995,36.309819
122151,8,6063.300000,54.520381,36.309306
132363,8,7064.900000,54.521674,36.303323
207613,8,8117.700000,54.510193,36.297764
50008396,8,9104.100000,54.508796,36.292072
110173,8,10110.600000,54.505787,36.294639
50007935,8,11093.300000,54.506412,36.288560
207551,8,12059.800000,54.508916,36.286009
207844,8,13054.800000,54.511682,36.285398
50009940,8,14057.900000,54.510652,36.279900
50007428,8,15258.500000,54.512872,36.237086
320670,9,747.200000,54.532933,36.255612
5061,9,2281.200000,54.568027,36.224580
162899,9,4104.400000,54.528347,36.107459
171977,9,5442.800000,54.480239,36.061725
50006361,9,6576.000000,54.472523,36.042006
2545,9,7638.400000,54.469411,36.043522
170520,9,8620.900000,54.476144,36.058546
129161,9,9583.600000,54.480048,36.061292
215659,9,11168.600000,54.528995,36.018311
203241,9,12535.200000,54.504097,36.068589
216820,9,14285.700000,54.539385,36.129422
150179,9,15635.800000,54.534011,36.167354
50005012,10,995.600000,54.514771,36.351118
102632,10,1981.800000,54.514002,36.358285
50011813,10,2969.100000,54.515345,36.358691
216822,10,3998.900000,54.514457,36.341423
123053,10,4974.000000,54.515293,36.331580
164266,10,6239.700000,54.527986,36.297320
207066,10,7279.500000,54.535852,36.307198
136057,10,8422.600000,54.552742,36.295398
169280,10,9375.000000,54.553780,36.293526
303523,10,10643.600000,54.564335,36.267602
116040,10,11594.300000,54.565072,36.271370
50011144,10,12581.100000,54.569518,36.269803
50005795,10,13642.700000,54.566258,36.259325
157164,10,14985.700000,54.522702,36.263219
157263,11,656.800000,54.530579,36.258927
125765,11,1650.300000,54.533947,36.263962
1293,11,2987.800000,54.578279,36.252982
215351,11,4002.700000,54.580724,36.250856
150863,11,5097.300000,54.591381,36.254406
5648,11,6170.000000,54.598343,36.265183
150867,11,7140.400000,54.600692,36.265293
170186,11,8147.300000,54.604289,36.268438
50011429,11,9114.100000,54.602888,36.268204
120661,11,10690.100000,54.521282,36.269353
141524,12,726.100000,54.533023,36.268447
50006585,12,2075.500000,54.567103,36.236854
126540,12,3130.100000,54.565495,36.221767
203495,12,4174.900000,54.566251,36.231300
50001486,12,5629.100000,54.580613,36.255637
137569,12,6626.700000,54.583178,36.249175
165063,12,8161.300000,54.569682,36.308357
102633,12,9172.100000,54.575473,36.312331
50011143,12,10204.600000,54.570870,36.314449
167406,12,11191.600000,54.567698,36.313366
218585,12,12993.800000,54.571315,36.405943
165393,12,14454.800000,54.544746,36.325073
317127,12,15462.300000,54.548217,36.324187
50004595,12,16993.600000,54.513688,36.249072
200369,13,1047.500000,54.558534,36.125993
312780,13,2638.800000,54.610449,36.018284
114158,13,4671.000000,54.680035,35.939485
50009156,13,5658.500000,54.676954,35.939367
216778,13,6726.700000,54.681128,35.928704
319683,13,8179.100000,54.721297,35.966154
315450,13,9410.900000,54.742741,36.000767
315459,13,11047.600000,54.807850,35.929647
2557,13,12185.200000,54.801238,35.926824
316941,13,13199.500000,54.807736,35.925649
157974,13,15297.400000,54.692989,36.023063
315451,13,16555.500000,54.688862,36.053031
318709,14,2632.100000,54.818490,36.319256
105619,14,3689.700000,54.807983,36.310471
210498,14,4639.800000,54.808459,36.313389
50001784,14,7830.500000,54.756215,36.060765
315452,14,9970.900000,54.798328,35.923413
317383,14,10976.400000,54.794476,35.917106
301580,14,15602.600000,54.988835,35.315361
50002997,14,18875.400000,54.892152,35.676412
157079,14,20678.200000,54.967905,35.855608
105540,14,21611.000000,54.968885,35.858366
50008706,14,22571.300000,54.966866,35.864279
151963,14,23529.900000,54.965543,35.873942
212828,14,27113.900000,54.614188,36.043345
120313,15,651.700000,54.510093,36.276621
217730,15,1962.200000,54.515741,36.344129
50002176,15,4666.900000,54.520577,36.763400
50007151,15,5626.000000,54.515300,36.761555
307399,15,6647.400000,54.514629,36.748479
133792,15,9409.200000,54.513868,36.356827
102630,15,10803.800000,54.510293,36.265636
50008316,15,11811.800000,54.506793,36.254740
315347,15,13350.800000,54.538340,36.159337
141598,15,15043.300000,54.608408,36.043650
206294,15,18279.400000,54.433250,35.658104
319745,15,19852.700000,54.389805,35.736879
124793,15,20799.000000,54.392234,35.739348
50005614,15,24586.100000,54.323198,36.178831
173011,15,26683.800000,54.464955,36.218638
office,route,time,lat,lng
209962,1,5394.200000,54.119854,35.331858
207110,1,6648.300000,54.102253,35.337756
310089,1,7746.500000,54.096989,35.369592
120924,1,8830.800000,54.101968,35.339356
50009891,1,9766.700000,54.098737,35.339705
2878,1,10744.100000,54.090309,35.344152
50000241,1,14048.900000,54.318336,35.283606
145930,1,15025.700000,54.322274,35.276599
5212,1,17880.900000,54.489975,34.982489
215934,1,22021.600000,54.743844,35.224890
50007095,1,23055.400000,54.746379,35.247053
102628,1,24206.300000,54.740979,35.225658
303489,2,5811.300000,54.492368,34.985829
303353,2,8830.700000,54.313826,34.532841
148743,2,12780.100000,54.410709,34.029836
141825,2,13719.400000,54.411391,34.035343
151852,2,17596.200000,54.252211,34.377275
50003808,2,25385.400000,53.928376,35.110249
314900,2,26316.500000,53.924786,35.112126
310399,2,27304.700000,53.934589,35.106333
311108,2,29459.200000,54.049119,35.231925
314028,2,32640.900000,54.249749,35.545125
office,route,time,lat,lng
133634,1,3203.800000,54.118245,36.497421
207108,1,4191.100000,54.118600,36.502907
114957,1,5173.500000,54.117410,36.510376
304605,1,6136.600000,54.123552,36.509217
