office,route,time,lat,lng
123220,1,5426.000000,53.815887,36.141072
208458,1,8981.200000,54.117756,36.389782
133634,1,10435.500000,54.118245,36.497421
207108,1,11422.800000,54.118600,36.502907
114957,1,12405.200000,54.117410,36.510376
304605,1,13368.300000,54.123552,36.509217
101358,1,14384.400000,54.124053,36.494425
208082,1,16156.400000,54.163090,36.493340
208249,2,5408.200000,53.815660,36.136628
3525,2,6407.200000,53.809325,36.129470
208598,2,7336.200000,53.808624,36.132259
209490,2,8291.600000,53.814665,36.130146
office,route,time,lat,lng
50005614,1,1302.400000,54.323198,36.178831
151384,1,2725.500000,54.262067,36.155329
50006361,1,5312.800000,54.472523,36.042006
170520,1,6413.000000,54.476144,36.058546
129161,1,7375.700000,54.480048,36.061292
203241,1,8572.100000,54.504097,36.068589
171977,1,9719.600000,54.480239,36.061725
2545,1,10734.500000,54.469411,36.043522
124793,1,13222.800000,54.392234,35.739348
319745,1,14168.700000,54.389805,35.736879
206294,1,15744.800000,54.433250,35.658104
215659,1,18515.200000,54.528995,36.018311
312780,1,20479.700000,54.610449,36.018284
212828,1,21694.400000,54.614188,36.043345
141598,1,22741.600000,54.608408,36.043650
office,route,time,lat,lng
1034,1,815.900000,54.531628,36.298819
315437,1,1779.900000,54.530109,36.302031
208888,1,2745.700000,54.529755,36.307941
3574,1,3689.100000,54.531377,36.308601
103153,1,4798.400000,54.525760,36.312563
50008537,1,5808.600000,54.527396,36.311503
130917,1,6798.600000,54.527995,36.309819
122151,1,7911.000000,54.520381,36.309306
132363,1,8912.600000,54.521674,36.303323
216822,2,924.800000,54.514457,36.341423
133792,2,1931.300000,54.513868,36.356827
102632,2,2893.000000,54.514002,36.358285
50011813,2,3880.300000,54.515345,36.358691
50005012,2,4870.300000,54.514771,36.351118
207066,2,6324.600000,54.535852,36.307198
165393,2,7422.500000,54.544746,36.325073
317127,2,8430.000000,54.548217,36.324187
136057,2,9734.200000,54.552742,36.295398
169280,2,10686.600000,54.553780,36.293526
50011146,2,11737.300000,54.546943,36.294165
164266,2,12889.300000,54.527986,36.297320
303523,3,971.700000,54.564335,36.267602
116040,3,1922.400000,54.565072,36.271370
50011144,3,2909.200000,54.569518,36.269803
50005795,3,3970.800000,54.566258,36.259325
1293,3,5046.600000,54.578279,36.252982
215351,3,6061.500000,54.580724,36.250856
137569,3,7077.200000,54.583178,36.249175
150863,3,8156.300000,54.591381,36.254406
150867,3,9216.800000,54.600692,36.265293
170186,3,10223.700000,54.604289,36.268438
123053,4,898.500000,54.515293,36.331580
50002176,4,3619.300000,54.520577,36.763400
50007151,4,4578.400000,54.515300,36.761555
307399,4,5599.800000,54.514629,36.748479
217730,4,8471.500000,54.515741,36.344129
218585,4,10318.700000,54.571315,36.405943
102633,4,11996.000000,54.575473,36.312331
167406,4,13089.300000,54.567698,36.313366
50011143,4,14073.500000,54.570870,36.314449
165063,4,15101.200000,54.569682,36.308357
309033,4,16201.800000,54.554859,36.289018
50004021,4,17180.200000,54.552279,36.284841
50001486,4,18481.800000,54.580613,36.255637
5648,4,19592.500000,54.598343,36.265183
50011429,4,20635.500000,54.602888,36.268204
