office,route,time,lat,lng
316853,1,3423.500000,47.690680,40.031301
50003726,1,4994.600000,47.698164,40.101216
130245,1,5949.200000,47.696113,40.105569
306050,1,6906.400000,47.696297,40.110936
50003947,1,8065.700000,47.699776,40.132323
316162,1,9199.600000,47.705132,40.145998
329134,1,10301.200000,47.698692,40.161493
164573,1,11285.100000,47.701362,40.157940
50008867,1,12353.900000,47.706326,40.162841
150991,1,13674.500000,47.709402,40.196031
530,1,14802.900000,47.713186,40.204391
166488,1,15778.400000,47.714919,40.203404
317708,1,16767.400000,47.718955,40.205827
50002312,1,17846.400000,47.726873,40.196361
170262,1,18906.800000,47.739126,40.188317
307173,1,20631.200000,47.818597,40.194650
136704,1,22299.800000,47.777354,40.146690
317340,2,3126.900000,47.710765,40.163155
50002212,2,4070.800000,47.710365,40.168087
313467,2,5221.600000,47.704304,40.200462
3427,2,6247.200000,47.709976,40.208864
141811,2,7207.700000,47.710703,40.212421
152613,2,8162.400000,47.713986,40.210732
325979,2,9504.700000,47.690527,40.242177
5908,2,10517.500000,47.694507,40.246142
316064,2,11615.000000,47.702831,40.228439
169003,2,12592.300000,47.705839,40.221235
126023,2,13536.200000,47.708294,40.217463
312830,2,14551.900000,47.702330,40.210612
169548,2,15495.600000,47.701441,40.207827
323161,2,16459.700000,47.703814,40.206084
50004462,2,17561.300000,47.708510,40.187083
107807,2,18814.800000,47.710407,40.147390
50008023,2,19786.100000,47.712274,40.140994
171391,3,3049.200000,47.707810,40.156254
212500,3,4268.400000,47.705284,40.193923
326061,3,5271.400000,47.701700,40.196977
50002239,3,6373.800000,47.712086,40.219668
324943,3,7308.100000,47.714451,40.226909
317161,3,8278.700000,47.717100,40.232083
3139,3,9428.500000,47.729521,40.243504
321899,3,10547.400000,47.744912,40.235182
320954,3,11551.300000,47.734526,40.237293
50001843,3,12600.900000,47.726575,40.229289
203305,3,13579.600000,47.722344,40.224573
324760,3,14637.300000,47.710607,40.227978
312961,3,15831.600000,47.698237,40.245404
322189,3,16928.400000,47.682276,40.277508
303730,3,18007.000000,47.685555,40.286575
308278,3,19138.400000,47.686768,40.266794
135697,3,20054.700000,47.687287,40.265190
313414,3,21281.200000,47.704161,40.256887
50002553,3,22733.200000,47.699317,40.218123
50002370,4,3083.000000,47.707491,40.160676
314071,4,4392.600000,47.697315,40.192872
308252,4,5412.600000,47.693955,40.204586
308077,4,6335.000000,47.693684,40.205594
315122,4,7604.900000,47.714627,40.246312
301593,4,8808.600000,47.727585,40.281698
106825,4,9830.600000,47.727318,40.289011
320744,4,10809.500000,47.735672,40.284554
50002258,4,11969.400000,47.733187,40.248666
161487,4,12920.600000,47.732149,40.251540
158833,4,13903.600000,47.730115,40.249071
316615,4,14937.800000,47.724296,40.248567
164363,4,15894.700000,47.727213,40.247366
50009092,4,17030.300000,47.735520,40.224286
322575,4,18409.500000,47.735066,40.193429
50005621,4,19956.000000,47.787239,40.145161
50004020,4,21252.100000,47.810084,40.105340
213756,4,22234.900000,47.809684,40.112414
306597,4,23664.700000,47.780628,40.144506
217313,5,3327.200000,47.711959,40.189997
315703,5,4514.100000,47.726599,40.206679
321635,5,5544.400000,47.720677,40.218581
308094,5,6892.200000,47.727459,40.291839
310564,5,7850.700000,47.731024,40.296050
302394,5,8793.200000,47.733544,40.300580
166161,5,9912.800000,47.736544,40.332396
200291,5,11309.000000,47.760091,40.304647
301127,5,12472.700000,47.741937,40.319974
50006245,5,13464.200000,47.736640,40.307063
160993,5,14384.500000,47.735574,40.302573
154951,5,15389.900000,47.725528,40.283685
211575,5,16544.600000,47.710786,40.234054
309011,5,17947.500000,47.683577,40.231957
165819,5,18874.500000,47.682763,40.235806
309212,5,19888.000000,47.685943,40.254433
323115,5,20851.400000,47.689370,40.255349
326692,5,21962.100000,47.698892,40.236566
50007646,5,23096.000000,47.703295,40.213829
