office_id,coordinates,,avg_shk
316853,47.690680,40.031301,124
50003726,47.698164,40.101216,208
130245,47.696113,40.105569,628
306050,47.696297,40.110936,314
312961,47.698237,40.245404,190
313414,47.704161,40.256887,165
323115,47.689370,40.255349,66
5908,47.694507,40.246142,629
325979,47.690527,40.242177,61
309011,47.683577,40.231957,184
165819,47.682763,40.235806,487
309212,47.685943,40.254433,326
135697,47.687287,40.265190,608
308278,47.686768,40.266794,322
322189,47.682276,40.277508,28
303730,47.685555,40.286575,468
166161,47.736544,40.332396,704
301127,47.741937,40.319974,231
200291,47.760091,40.304647,365
315122,47.714627,40.246312,88
316615,47.724296,40.248567,154
164363,47.727213,40.247366,357
3139,47.729521,40.243504,882
320954,47.734526,40.237293,205
321899,47.744912,40.235182,119
158833,47.730115,40.249071,529
50002258,47.733187,40.248666,167
161487,47.732149,40.251540,473
320744,47.735672,40.284554,94
308094,47.727459,40.291839,345
302394,47.733544,40.300580,187
50006245,47.736640,40.307063,61
160993,47.735574,40.302573,672
310564,47.731024,40.296050,130
106825,47.727318,40.289011,692
154951,47.725528,40.283685,495
50009092,47.735520,40.224286,181
301593,47.727585,40.281698,434
50003947,47.699776,40.132323,99
316162,47.705132,40.145998,142
107807,47.710407,40.147390,658
171391,47.707810,40.156254,243
164573,47.701362,40.157940,580
50002370,47.707491,40.160676,153
317340,47.710765,40.163155,60
50002212,47.710365,40.168087,131
212500,47.705284,40.193923,263
50004462,47.708510,40.187083,49
150991,47.709402,40.196031,456
217313,47.711959,40.189997,241
530,47.713186,40.204391,703
166488,47.714919,40.203404,406
317708,47.718955,40.205827,73
50002312,47.726873,40.196361,106
322575,47.735066,40.193429,78
170262,47.739126,40.188317,467
307173,47.818597,40.194650,142
136704,47.777354,40.146690,529
306597,47.780628,40.144506,214
50005621,47.787239,40.145161,130
213756,47.809684,40.112414,212
50004020,47.810084,40.105340,182
50008867,47.706326,40.162841,27
329134,47.698692,40.161493,0
50008023,47.712274,40.140994,30
314071,47.697315,40.192872,178
308252,47.693955,40.204586,151
308077,47.693684,40.205594,150
50002553,47.699317,40.218123,168
316064,47.702831,40.228439,250
211575,47.710786,40.234054,319
317161,47.717100,40.232083,70
203305,47.722344,40.224573,319
50001843,47.726575,40.229289,210
321635,47.720677,40.218581,64
315703,47.726599,40.206679,289
152613,47.713986,40.210732,404
141811,47.710703,40.212421,323
3427,47.709976,40.208864,601
313467,47.704304,40.200462,130
323161,47.703814,40.206084,28
169548,47.701441,40.207827,337
312830,47.702330,40.210612,159
50007646,47.703295,40.213829,44
126023,47.708294,40.217463,472
169003,47.705839,40.221235,451
50002239,47.712086,40.219668,149
324760,47.710607,40.227978,51
324943,47.714451,40.226909,48
326692,47.698892,40.236566,27
326061,47.701700,40.196977,53
