office_id,coordinates,,dist_lm,avg_shk
50002693,55.6570080000,37.3909060000,15,110
125173,55.6890350000,37.4699700000,22,395
168206,55.8482940000,37.1781470000,54,347
316826,56.0642971130,35.7560532340,149,102
141164,55.6109920000,36.9680280000,24,784
50005304,55.6688640000,37.4386910000,19,78
151543,55.6465690000,37.4784420000,21,433
5498,55.2006464040,34.3084691020,209,770
304887,55.6783970000,37.2348450000,18,256
210556,55.7743910000,37.2355460000,45,678
320117,55.8833180000,37.0312780000,67,0
202468,55.4981990000,36.0382980000,84,389
171866,55.7101390000,37.4699520000,25,237
304426,55.6680290000,37.4421190000,19,568
204223,55.6752700000,37.5215240000,26,286
584,55.6487775650,37.3690554230,14,512
202883,55.6718900000,36.5200190000,67,306
126343,55.7232810000,37.4361800000,27,454
210489,56.1506190000,35.4918350000,174,415
160814,55.6187200000,37.4940540000,24,732
147201,55.6425790000,37.3269470000,12,695
50001291,56.0086960000,36.3449560000,110,304
139275,55.6557910000,37.2637890000,12,1203
141559,55.7027470000,37.3199230000,21,308
172015,55.8372790000,37.1349890000,58,601
130559,55.8163060000,37.0686690000,56,472
304522,55.6777630000,37.4518690000,20,370
308076,55.6860230000,37.5242900000,25,186
211612,55.5033900000,36.0405440000,83,311
210657,55.6358580000,37.3474040000,12,80
162917,55.6862100000,37.2595230000,18,695
158510,55.9945320000,36.4729030000,101,490
306149,55.6081190000,37.4126130000,18,519
146326,55.7254480000,37.4141940000,26,389
304886,55.6658630000,37.2878370000,17,203
107839,55.6352660000,37.3848490000,14,672
123595,55.5112560000,36.6906280000,48,471
101693,55.8703080000,37.1019790000,59,633
312026,55.5433230000,34.9912940000,154,246
172024,55.7425910000,36.8566720000,44,391
109410,55.5147260000,36.9844340000,21,1175
3336,55.6774267220,37.5171410640,26,360
100893,55.8816720000,37.0333760000,67,654
150206,55.7268270000,37.3529470000,27,443
203430,55.5404800000,35.9679150000,92,274
125112,55.6790930000,37.4463400000,20,369
105292,55.7091700000,36.2038020000,83,736
173127,55.6458120000,37.3394090000,13,526
308561,55.6189490000,36.8439340000,36,161
154887,55.6434390000,37.4090910000,16,385
3618,55.6812794000,37.5195873710,25,296
209709,55.6747980000,37.0409440000,23,504
323869,55.5366390000,37.1833990000,14,0
305753,55.7199260000,37.4199160000,26,257
156883,55.7040590000,37.4610450000,24,905
50005995,55.5575960000,37.3105510000,14,70
206800,55.6429770000,37.3930740000,15,353
