"car_type","car_type_numb","src","src_coordinates","dst","dst_coordinates"
gazel,1,206298,"{""latitude"": 53.722084, ""longitude"": 91.382578}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,206298,"{""latitude"": 53.722084, ""longitude"": 91.382578}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,206298,"{""latitude"": 53.722084, ""longitude"": 91.382578}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,206298,"{""latitude"": 53.722084, ""longitude"": 91.382578}",161520,"{""latitude"": 55.141009, ""longitude"": 82.985385}"
gazel,1,206298,"{""latitude"": 53.722084, ""longitude"": 91.382578}",213849,"{""latitude"": 55.310288, ""longitude"": 86.140728}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",6145,"{""latitude"": 56.075378, ""longitude"": 92.948591}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",161520,"{""latitude"": 55.141009, ""longitude"": 82.985385}"
gazel,1,300862,"{""latitude"": 53.719708, ""longitude"": 91.376873}",213849,"{""latitude"": 55.310288, ""longitude"": 86.140728}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",118535,"{""latitude"": 56.169053, ""longitude"": 43.895555}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",300461,"{""latitude"": 52.463864, ""longitude"": 30.940521}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",207803,"{""latitude"": 54.786513, ""longitude"": 32.100785}"
