src,src_coord,,dst,dst_coord,
507,55.38614,37.583393,208277,44.662695,41.896576
208277,44.662695,41.896576,206236,55.328742812,37.82100529
120762,55.747074,38.4115,1733,56.767604,60.81316
1733,56.767604,60.81316,206236,55.328742812,37.82100529
208277,44.662695,41.896576,120762,55.747074,38.4115
120762,55.747074,38.4115,208277,44.662695,41.896576
120762,55.747074,38.4115,117230,53.091476,50.126734
206348,54.437235,37.464906,130744,45.055356,39.067991
507,55.38614,37.583393,218616,47.366609,39.716696
206348,54.437235,37.464906,208277,44.662695,41.896576
218225,55.150464,61.448817,120762,55.747074,38.4115
319389,56.897468,60.519429,120762,55.747074,38.4115
131643,52.319649,104.248228,686,54.941901,82.916459
312259,59.796283695,30.455101821,206348,54.437235,37.464906
686,54.941901,82.916459,131643,52.319649,104.248228
507,55.38614,37.583393,218225,55.150464,61.448817
507,55.38614,37.583393,130744,45.055356,39.067991
130744,45.055356,39.067991,206236,55.328742812,37.82100529
205985,46.312237,39.946724,120762,55.747074,38.4115
120762,55.747074,38.4115,2737,59.869844,30.519603
120762,55.747074,38.4115,130744,45.055356,39.067991
218616,47.366609,39.716696,507,55.38614,37.583393
1733,56.767604,60.81316,161520,55.141009,82.985385
315199,51.705626,55.109873,120762,55.747074,38.4115
161520,55.141009,82.985385,117986,55.848147,48.843685
117230,53.091476,50.126734,120762,55.747074,38.4115
117230,53.091476,50.126734,318294,55.501488621,38.160805688
319391,56.678041762,60.608270658,206236,55.328742812,37.82100529
507,55.38614,37.583393,117230,53.091476,50.126734
117230,53.091476,50.126734,507,55.38614,37.583393
117819,57.142964,65.597514,120762,55.747074,38.4115
117986,55.848147,48.843685,161520,55.141009,82.985385
120762,55.747074,38.4115,218225,55.150464,61.448817
120762,55.747074,38.4115,301920,44.033866,43.165161
130744,45.055356,39.067991,161520,55.141009,82.985385
161520,55.141009,82.985385,206348,54.437235,37.464906
206348,54.437235,37.464906,312259,59.796283695,30.455101821
210557,50.898893,128.535972,131643,52.319649,104.248228
315199,51.705626,55.109873,117986,55.848147,48.843685
2737,59.869844,30.519603,507,55.38614,37.583393
206348,54.437235,37.464906,161520,55.141009,82.985385
507,55.38614,37.583393,131643,52.319649,104.248228
507,55.38614,37.583393,161520,55.141009,82.985385
168458,55.010898,73.446973,120762,55.747074,38.4115
301957,47.367953,39.71672,507,55.38614,37.583393
117986,55.848147,48.843685,130744,45.055356,39.067991
120762,55.747074,38.4115,319391,56.678041762,60.608270658
218210,55.823819179,38.251653675,117819,57.142964,65.597514
218616,47.366609,39.716696,206348,54.437235,37.464906
131643,52.319649,104.248228,117986,55.848147,48.843685
218225,55.150464,61.448817,507,55.38614,37.583393
686,54.941901,82.916459,117986,55.848147,48.843685
302737,53.321512,83.642199,120762,55.747074,38.4115
218210,55.823819179,38.251653675,161520,55.141009,82.985385
6145,56.075378,92.948591,117986,55.848147,48.843685
120762,55.747074,38.4115,117819,57.142964,65.597514
208277,44.662695,41.896576,206348,54.437235,37.464906
120762,55.747074,38.4115,318388,44.98527,38.910742
168458,55.010898,73.446973,1733,56.767604,60.81316
117986,55.848147,48.843685,131643,52.319649,104.248228
218616,47.366609,39.716696,120762,55.747074,38.4115
131643,52.319649,104.248228,507,55.38614,37.583393
120762,55.747074,38.4115,209211,43.03146948,47.433087104
131643,52.319649,104.248228,120762,55.747074,38.4115
131643,52.319649,104.248228,210557,50.898893,128.535972
117986,55.848147,48.843685,218616,47.366609,39.716696
686,54.941901,82.916459,218210,55.823819179,38.251653675
161520,55.141009,82.985385,218210,55.823819179,38.251653675
205228,55.65431,37.888459,168458,55.010898,73.446973
301957,47.367953,39.71672,206348,54.437235,37.464906
120762,55.747074,38.4115,301957,47.367953,39.71672
120762,55.747074,38.4115,6145,56.075378,92.948591
218210,55.823819179,38.251653675,131643,52.319649,104.248228
206348,54.437235,37.464906,133533,47.367228,39.712646
133533,47.367228,39.712646,120762,55.747074,38.4115
133533,47.367228,39.712646,507,55.38614,37.583393
213849,55.310288,86.140728,117986,55.848147,48.843685
117986,55.848147,48.843685,213849,55.310288,86.140728
120762,55.747074,38.4115,131643,52.319649,104.248228
1733,56.767604,60.81316,686,54.941901,82.916459
6145,56.075378,92.948591,120762,55.747074,38.4115
117986,55.848147,48.843685,1733,56.767604,60.81316
218225,55.150464,61.448817,206348,54.437235,37.464906
120762,55.747074,38.4115,302222,54.584504,55.907014
117986,55.848147,48.843685,6145,56.075378,92.948591
133533,47.367228,39.712646,206348,54.437235,37.464906
161520,55.141009,82.985385,507,55.38614,37.583393
317460,56.012701914,93.027334724,120762,55.747074,38.4115
206348,54.437235,37.464906,301957,47.367953,39.71672
319389,56.897468,60.519429,686,54.941901,82.916459
1733,56.767604,60.81316,218616,47.366609,39.716696
1733,56.767604,60.81316,120762,55.747074,38.4115
213849,55.310288,86.140728,507,55.38614,37.583393
213849,55.310288,86.140728,120762,55.747074,38.4115
218616,47.366609,39.716696,1733,56.767604,60.81316
218616,47.366609,39.716696,117986,55.848147,48.843685
120762,55.747074,38.4115,213849,55.310288,86.140728
120762,55.747074,38.4115,168458,55.010898,73.446973
218674,52.007122,113.560661,120762,55.747074,38.4115
1733,56.767604,60.81316,168458,55.010898,73.446973
206348,54.437235,37.464906,117986,55.848147,48.843685
302737,53.321512,83.642199,218210,55.823819179,38.251653675
206348,54.437235,37.464906,686,54.941901,82.916459
120762,55.747074,38.4115,686,54.941901,82.916459
117986,55.848147,48.843685,686,54.941901,82.916459
131643,52.319649,104.248228,218644,48.449259,135.12843
1733,56.767604,60.81316,117986,55.848147,48.843685
120762,55.747074,38.4115,205985,46.312237,39.946724
